cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
1007;AC;BUJARI;7888;116;178;669;826;1898;1666;1543;649;285;58;3833;4055;0
1015;AC;CAPIXABA;7882;129;230;641;815;1688;1615;1736;618;288;122;3643;4239;0
1023;AC;PORTO ACRE;11331;170;315;966;1127;2490;2296;2461;1024;397;84;5498;5833;0
1031;AC;SANTA ROSA DO PURUS;3157;61;101;301;408;880;580;465;189;85;86;1563;1594;0
1040;AC;MARECHAL THAUMATURGO;9458;191;293;1050;1272;2579;1761;1367;471;287;184;4386;5072;0
1058;AC;BRASILÉIA;17613;159;257;1260;1843;4156;3603;3618;1429;752;536;8775;8838;0
1066;AC;PORTO WALTER;5884;190;215;657;700;1612;1167;875;282;133;53;2777;3107;0
1074;AC;CRUZEIRO DO SUL;54101;879;1325;5126;6100;13557;10956;9245;3530;2073;1308;27740;26361;0
1082;AC;RODRIGUES ALVES;11062;314;391;1166;1375;2771;2221;1700;639;332;153;5397;5664;1
1090;AC;MÂNCIO LIMA;11981;265;372;1144;1346;3081;2387;1971;748;432;235;5934;6046;1
1104;AC;JORDÃO;4724;104;179;557;622;1222;909;671;228;115;116;2159;2565;0
1112;AC;EPITACIOLÂNDIA;11559;145;191;909;1155;2694;2357;2353;901;531;322;5836;5723;0
1120;AC;ACRELÂNDIA;9506;111;168;674;1007;2239;1962;1954;825;367;198;4526;4980;0
1139;AC;FEIJÓ;19739;233;486;1824;2351;4779;3903;3492;1346;810;509;9595;10143;1
1392;AC;RIO BRANCO;241196;1018;2202;17482;26119;62656;53351;50009;17611;7666;3074;128470;112726;0
1457;AC;SENA MADUREIRA;27557;378;615;2519;3201;6678;5580;4653;1979;1138;812;13610;13946;1
1473;AC;TARAUACÁ;24900;405;568;2377;3043;6292;4782;4229;1593;945;663;12099;12801;0
1490;AC;XAPURI;10906;160;233;1003;1207;2544;2105;2203;919;404;128;5331;5575;0
1511;AC;PLÁCIDO DE CASTRO;13586;237;297;1082;1403;3043;2650;2781;1101;588;404;6526;7060;0
1538;AC;SENADOR GUIOMARD;16206;266;428;1439;1672;3754;3345;3318;1243;557;183;8253;7953;0
1554;AC;MANOEL URBANO;6711;142;179;627;792;1628;1323;1137;435;248;199;3147;3564;0
1570;AC;ASSIS BRASIL;5505;67;84;432;656;1461;1137;988;410;196;74;2752;2753;0
