cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
27006;AL;PARIPUEIRA;9439;127;219;762;1011;2216;2093;1893;810;249;59;4891;4548;0
27014;AL;ÁGUA BRANCA;14518;216;331;1296;1566;3364;2610;2817;1264;828;225;7469;7049;0
27022;AL;PARICONHA;7954;175;195;699;841;1824;1468;1488;728;440;95;4063;3891;0
27030;AL;ANADIA;12558;149;275;917;1285;2780;2376;2718;1176;623;259;6595;5963;0
27049;AL;ESTRELA DE ALAGOAS;11658;175;227;797;1126;2502;2238;2434;1309;660;187;6179;5479;0
27057;AL;ARAPIRACA;135998;844;1723;9161;13963;32689;28273;30204;12388;5519;1229;75164;60834;0
27065;AL;JEQUIÁ DA PRAIA;7344;135;183;558;766;1778;1623;1499;561;203;38;3623;3721;0
27073;AL;ATALAIA;30194;402;638;2350;3186;7224;6154;6208;2602;1088;333;15523;14671;0
27081;AL;CAMPESTRE;5423;149;165;515;645;1272;1052;993;370;212;50;2764;2659;0
27090;AL;BARRA DE SANTO ANTÔNIO;11680;223;300;1012;1286;2827;2442;2334;873;320;63;6049;5631;0
27111;AL;BARRA DE SÃO MIGUEL;6520;64;127;466;683;1610;1508;1386;470;175;31;3339;3181;0
27138;AL;BATALHA;12020;245;292;968;1282;2945;2252;2441;1006;475;113;6368;5652;0
27154;AL;BELÉM;4780;112;117;352;469;1088;952;931;408;263;88;2456;2324;0
27170;AL;BELO MONTE;5154;138;143;428;621;1208;906;1090;372;206;42;2595;2559;0
27197;AL;BOCA DA MATA;19640;277;473;1579;2039;4437;4024;4138;1769;708;195;10102;9538;0
27219;AL;BRANQUINHA;8158;137;225;665;964;2028;1607;1604;609;276;42;4077;4081;0
27235;AL;CACIMBINHAS;7929;150;173;587;803;1752;1510;1720;740;394;100;4197;3732;0
27251;AL;CAJUEIRO;14437;213;332;1157;1528;3574;2955;2940;1159;450;129;7523;6914;0
27278;AL;CAMPO ALEGRE;23369;477;614;2115;2657;5496;4827;4458;1901;721;102;12093;11276;0
27294;AL;CAMPO GRANDE;8106;197;243;716;858;1932;1479;1543;693;346;98;4129;3977;0
