cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
2003;AM;APUÍ;10164;98;179;663;936;2249;2045;2314;971;467;242;4688;5472;4
2011;AM;NOVO AIRÃO;9899;151;255;830;1186;2537;1912;1836;717;336;139;4922;4977;0
2020;AM;GUAJARÁ;9392;158;219;684;875;2209;1881;1936;659;447;323;4442;4947;3
2038;AM;ANORI;9663;198;234;814;1050;2411;1929;1706;648;399;273;4631;5031;1
2046;AM;CAREIRO DA VÁRZEA;14411;158;274;1050;1544;3255;3094;3218;1235;507;75;7025;7386;0
2054;AM;ATALAIA DO NORTE;7687;138;192;653;1026;2069;1390;1303;419;289;208;3708;3977;2
2070;AM;AUTAZES;23840;465;657;2193;2726;5921;4635;4421;1718;818;286;11696;12144;0
2097;AM;BARCELOS;10025;157;284;797;1114;2430;1818;1864;760;450;348;4663;5360;2
2119;AM;BARREIRINHA;18134;299;413;1467;2111;4542;3441;3188;1216;756;700;8650;9482;2
2135;AM;BENJAMIN CONSTANT;19481;151;288;1442;2387;5174;3563;3474;1343;979;678;9940;9534;7
2151;AM;BOCA DO ACRE;20292;269;403;1475;2126;4929;4016;3815;1545;980;732;9869;10420;3
2178;AM;BORBA;20147;355;491;1687;2393;4997;3775;3466;1340;836;806;9686;10458;3
2194;AM;CANUTAMA;8323;173;198;688;933;2063;1566;1591;584;321;206;3891;4431;1
2216;AM;CARAUARI;18603;392;516;1779;2216;4427;3298;3463;1225;774;511;9055;9542;6
2232;AM;CAREIRO;19786;235;415;1556;1962;4555;4010;4290;2004;653;106;9672;10114;0
2259;AM;COARI;48681;957;1251;4323;5748;12511;9668;7989;3128;1774;1328;23692;24988;1
2275;AM;CODAJÁS;14506;233;303;1135;1630;3618;2754;2586;1074;630;542;6910;7595;1
2291;AM;EIRUNEPÉ;20882;380;529;1747;2384;5039;3923;3671;1429;988;785;10154;10719;9
2313;AM;ENVIRA;11244;223;261;932;1210;2584;2094;2192;763;515;469;5388;5854;2
2330;AM;FONTE BOA;14677;342;416;1331;1690;3653;2779;2470;897;590;507;7031;7646;0
2356;AM;HUMAITÁ;28782;390;613;2224;3373;7512;5604;5180;2094;1161;631;14001;14778;3
2372;AM;SANTA ISABEL DO RIO NEGRO;7467;96;156;586;809;1671;1360;1399;584;494;312;3649;3818;0
2399;AM;IPIXUNA;10677;237;316;1019;1152;2689;1896;1883;673;450;360;5037;5633;7
2410;AM;ITACOATIARA;62343;574;1305;5410;7167;15707;13073;12110;4663;1887;446;31426;30917;0
2437;AM;ITAPIRANGA;7128;149;179;583;806;1804;1407;1310;474;264;151;3460;3668;0
2453;AM;JAPURÁ;4438;141;155;442;595;1119;765;748;230;117;124;2062;2375;1
2470;AM;JURUÁ;6993;155;208;645;765;1716;1214;1320;425;303;241;3267;3724;2
2496;AM;JUTAÍ;11728;256;345;1117;1398;3003;2121;1911;732;503;342;5689;6037;2
2518;AM;LÁBREA;23231;328;524;1893;2535;5695;4285;4271;1726;1110;861;11406;11820;5
2534;AM;MANACAPURU;61793;572;1153;5142;7277;16104;12632;11588;4438;2213;674;31512;30281;0
2550;AM;MANAUS;1257129;5486;18018;97411;136321;326100;292325;268967;86842;22200;3455;665730;591399;0
2577;AM;MANICORÉ;28111;572;755;2351;3217;6598;5131;5079;2023;1254;1128;13438;14667;6
2593;AM;MARAÃ;9477;223;305;944;1216;2396;1753;1560;526;312;240;4452;5023;2
2615;AM;MAUÉS;30117;336;549;2070;3227;7538;5720;5776;2323;1187;1389;14881;15230;6
2631;AM;NHAMUNDÁ;12851;237;338;1058;1464;3157;2414;2296;863;586;437;6049;6802;0
2658;AM;NOVA OLINDA DO NORTE;16672;284;418;1433;1992;4006;2973;2969;1178;644;773;8096;8575;1
2674;AM;NOVO ARIPUANÃ;11989;205;325;1026;1316;2878;2168;2158;798;607;506;5790;6194;5
2690;AM;PARINTINS;64044;1155;1642;6077;7599;15400;11966;11457;4440;2426;1878;31876;32167;1
2712;AM;PAUINI;9851;184;260;795;1060;2362;1864;1803;662;453;405;4714;5136;1
2739;AM;SANTO ANTÔNIO DO IÇÁ;13159;278;335;1164;1697;3387;2425;2116;839;500;416;6349;6806;4
2755;AM;SÃO PAULO DE OLIVENÇA;15918;255;423;1480;1992;4094;2930;2597;1028;667;450;7911;8005;2
2771;AM;SILVES;6970;114;197;596;839;1701;1315;1261;533;233;181;3269;3701;0
2798;AM;TAPAUÁ;12122;186;256;1032;1502;3344;2326;1984;756;420;313;5800;6321;1
2810;AM;TEFÉ;39297;564;956;3358;4659;10077;7801;6556;2642;1502;1179;19772;19523;2
2836;AM;SÃO GABRIEL DA CACHOEIRA;28756;204;494;2199;3133;6703;5227;5347;2519;1549;1378;14203;14551;2
2852;AM;URUCARÁ;11395;214;311;934;1342;2827;2174;2040;782;476;295;5492;5901;2
2879;AM;URUCURITUBA;12020;208;301;1099;1478;3043;2163;2042;834;427;424;5521;6498;1
2895;AM;ALVARÃES;9727;264;273;946;1254;2486;1792;1505;595;348;262;4606;5120;1
2917;AM;AMATURÁ;5467;106;148;487;676;1327;971;991;375;225;160;2639;2826;2
2933;AM;ANAMÃ;6970;153;187;649;788;1765;1288;1213;397;278;251;3267;3703;0
2950;AM;BERURI;11193;198;297;1116;1417;2987;2063;1781;646;389;298;5308;5885;0
2976;AM;BOA VISTA DO RAMOS;10434;235;318;867;1239;2610;1935;1720;662;409;438;4861;5572;1
2992;AM;CAAPIRANGA;8125;158;233;737;909;1919;1571;1399;576;335;287;3749;4376;0
98353;AM;IRANDUBA;26980;121;371;1989;3075;6794;5933;5545;2171;835;146;13839;13141;0
98370;AM;ITAMARATI;6529;181;212;568;842;1610;1240;1101;397;231;147;3006;3518;5
98396;AM;MANAQUIRI;12920;240;321;1031;1357;3006;2486;2590;972;549;367;6170;6749;1
98418;AM;PRESIDENTE FIGUEIREDO;21006;238;454;1816;2266;4863;4460;4625;1701;498;82;10229;10777;0
98434;AM;RIO PRETO DA EVA;14112;118;225;1046;1498;3343;2863;3138;1353;448;80;6983;7129;0
98450;AM;SÃO SEBASTIÃO DO UATUMÃ;6153;136;184;597;724;1551;1209;1040;375;200;137;2937;3214;2
98477;AM;TABATINGA;30111;225;491;2208;3565;8008;5919;5538;2196;1228;732;15960;14145;6
98493;AM;UARINI;7391;162;164;583;903;1976;1494;1234;447;244;184;3548;3843;0
