cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
6009;AP;PRACUÚBA;3351;106;111;352;366;893;687;520;209;91;16;1586;1765;0
6017;AP;AMAPÁ;6026;133;168;572;661;1552;1154;1135;398;200;53;2919;3107;0
6025;AP;PORTO GRANDE;13176;270;304;1125;1526;3291;2738;2651;839;327;105;6249;6927;0
6033;AP;CALÇOENE;7423;155;183;667;771;1810;1459;1633;502;203;39;3408;4015;0
6041;AP;ITAUBAL;5522;128;177;527;703;1534;1064;951;294;118;26;2639;2883;0
6050;AP;MACAPÁ;277688;2125;4077;23133;32439;75128;62372;54414;16444;6262;1291;145335;132353;0
6068;AP;CUTIAS;4062;98;125;436;530;1078;812;655;222;78;28;1915;2147;0
6076;AP;MAZAGÃO;14146;332;420;1474;1811;3644;2608;2392;856;450;159;6825;7321;0
6084;AP;PEDRA BRANCA DO AMAPARI;8316;166;227;728;992;2331;1695;1516;463;162;36;3850;4466;0
6092;AP;OIAPOQUE;18261;217;344;1514;1969;4699;4111;3905;1094;352;55;9082;9179;0
6106;AP;SERRA DO NAVIO;3454;79;84;310;369;938;680;675;198;90;31;1601;1853;0
6114;AP;FERREIRA GOMES;7133;195;251;750;912;1811;1459;1147;407;155;46;3468;3665;0
6122;AP;VITÓRIA DO JARI;9560;227;315;1036;1231;2467;1825;1599;502;259;99;4571;4989;0
6130;AP;LARANJAL DO JARI;27718;509;707;2710;3314;7041;5643;5343;1572;660;219;13583;14135;0
6157;AP;SANTANA;73096;1052;1595;6527;8963;20127;15401;12820;4196;1935;479;37325;35770;1
6173;AP;TARTARUGALZINHO;8514;234;286;868;1039;2148;1491;1554;599;229;66;4060;4454;0
