cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
30007;BA;LUÍS EDUARDO MAGALHÃES;46518;226;462;3164;5149;14390;11571;8730;2013;651;160;24104;22414;0
30058;BA;EUNÁPOLIS;76567;522;870;4172;6571;18500;16294;16840;6587;3493;2714;40221;36269;77
30660;BA;IUIU;8542;156;147;547;820;2036;1513;1821;749;452;301;4124;4402;16
30678;BA;JABORANDI;8001;184;175;549;704;1795;1495;1796;754;423;125;3866;4135;0
30694;BA;JUSSARI;5222;72;75;292;511;1138;957;1135;520;334;187;2572;2647;3
30716;BA;AMÉRICA DOURADA;13130;222;253;891;1288;2690;2469;2862;1147;757;551;6606;6518;6
30732;BA;ARATACA;5569;99;117;466;510;1142;1094;1186;615;269;70;2805;2764;0
30759;BA;BARRO ALTO;9785;148;159;626;884;2093;1894;2225;938;610;207;4858;4926;1
30775;BA;BARROCAS;13178;213;268;826;1255;3475;2716;2470;987;651;317;6576;6599;3
30791;BA;BURITIRAMA;15103;183;268;1125;1645;3811;2901;2702;1154;738;575;7230;7857;16
30813;BA;CAPELA DO ALTO ALEGRE;9401;144;144;496;806;1919;1589;2137;1048;756;362;4706;4680;15
30830;BA;CAPIM GROSSO;22439;305;411;1337;2145;5370;4516;4487;1872;1369;623;11773;10632;34
30856;BA;CANUDOS;12615;170;212;805;1126;2856;2442;2691;970;759;583;6307;6301;7
30872;BA;DIAS D'ÁVILA;46577;166;439;2872;4696;12225;10890;10171;3376;1334;402;24802;21758;17
30899;BA;FÁTIMA;15269;262;286;904;1468;3372;2812;3126;1392;991;654;7600;7669;0
30910;BA;FILADÉLFIA;14142;162;227;769;1264;3301;2850;2839;1270;863;596;7097;7040;5
30937;BA;GAVIÃO;4423;69;81;241;398;950;759;1018;473;295;139;2154;2265;4
30953;BA;GUAJERU;7677;128;121;431;660;1658;1241;1646;727;587;478;3835;3833;9
30970;BA;HELIÓPOLIS;12211;260;258;835;1153;2598;2255;2563;1077;730;481;6056;6150;5
30996;BA;JOÃO DOURADO;17681;191;272;1071;1618;3973;3743;3649;1623;983;558;9110;8569;2
33014;BA;ABAÍRA;6931;66;80;299;517;1320;1106;1641;913;591;398;3573;3355;3
33030;BA;ABARÉ;12746;263;287;1007;1333;3105;2495;2324;994;621;314;6412;6325;9
33057;BA;ACAJUTIBA;11262;132;177;724;1187;2580;2173;2306;1023;633;327;5904;5357;1
33065;BA;ADUSTINA;10859;217;234;766;1003;2509;2021;2319;1042;566;181;5622;5237;0
33073;BA;ÁGUA FRIA;12435;118;161;845;1266;3026;2395;2394;1178;797;254;6325;6109;1
33090;BA;ÉRICO CARDOSO;9270;145;143;529;815;2040;1657;1985;888;616;450;4645;4616;9
33111;BA;AIQUARA;3787;77;89;234;325;779;669;851;412;227;124;1874;1913;0
33138;BA;ALAGOINHAS;94177;275;879;5864;8465;21663;20935;22299;8827;3843;1125;52294;41883;0
33154;BA;ALCOBAÇA;17660;180;217;870;1668;3932;3567;3725;1759;978;761;8686;8958;16
33170;BA;ALMADINA;5352;83;101;264;502;1159;979;1141;604;359;160;2708;2643;1
33197;BA;AMARGOSA;25553;95;199;1298;2407;5845;5274;5547;2361;1478;1048;13535;12007;11
33219;BA;AMÉLIA RODRIGUES;18439;122;282;1076;1641;4266;4016;4111;1696;898;329;9772;8648;19
33235;BA;ANAGÉ;18214;122;204;867;1546;3946;3374;4149;2154;1293;559;9217;8989;8
33251;BA;ANDARAÍ;10500;137;200;697;1025;2557;1935;2023;898;590;437;5243;5250;7
33260;BA;ANDORINHA;11247;119;166;669;1022;2462;2421;2627;1049;563;148;5554;5693;0
33278;BA;ANGICAL;12153;133;198;765;1096;2796;2286;2621;1259;693;305;5802;6346;5
33294;BA;ANGUERA;9445;131;166;531;915;2271;1926;1943;784;579;198;4823;4620;2
33316;BA;ANTAS;10837;152;195;634;950;2297;1877;2324;1122;775;511;5523;5312;2
33332;BA;ANTÔNIO CARDOSO;10759;91;140;637;1048;2715;2066;2215;933;637;277;5630;5127;2
33359;BA;ANTÔNIO GONÇALVES;8298;135;175;565;775;1895;1566;1668;846;482;191;4165;4129;4
33375;BA;APORÁ;13538;109;156;770;1246;2888;2529;2826;1270;974;768;6694;6825;19
33383;BA;ARAÇÁS;8877;88;173;707;979;2379;1823;1749;663;241;75;4588;4289;0
33391;BA;ARACATU;13118;233;248;725;1085;2909;2273;2865;1290;882;607;6311;6778;29
33405;BA;APUAREMA;5871;92;98;350;570;1472;1043;1170;602;310;164;2899;2971;1
33413;BA;ARACI;40715;517;722;2765;4124;9829;7838;7853;3383;2224;1456;20413;20280;22
33430;BA;ARAMARI;8366;120;161;615;835;1896;1756;1762;709;388;124;4311;4055;0
33456;BA;ARATUÍPE;8161;101;136;532;791;1999;1662;1705;687;382;166;4158;4000;3
33472;BA;AURELINO LEAL;9213;184;205;736;911;2053;1683;1940;895;426;179;4814;4399;0
33499;BA;BAIANÓPOLIS;11645;218;260;792;1067;2646;2223;2425;1047;658;308;5605;6031;9
33510;BA;BAIXA GRANDE;16154;191;249;1053;1525;3640;2913;3373;1657;987;565;8284;7857;13
33529;BA;BANZAÊ;10269;141;175;665;933;2250;1903;2121;983;714;383;5143;5122;4
33537;BA;BARRA;36258;451;678;2999;4054;8911;6517;6690;2776;1844;1336;17728;18491;39
33553;BA;BARRA DA ESTIVA;18852;312;375;1255;1735;4870;3670;3604;1468;878;685;9394;9438;20
33570;BA;BARRA DO CHOÇA;27386;297;493;1806;2517;6439;5295;5579;2299;1623;1037;13790;13564;32
33596;BA;BARRA DO MENDES;12291;186;247;756;1045;2623;2126;2602;1313;912;481;6206;6080;5
33618;BA;BARRA DO ROCHA;3887;73;64;271;353;845;749;903;356;202;71;1977;1910;0
33634;BA;BARREIRAS;94612;619;1096;5868;9441;24806;20922;20114;6217;3172;2352;48809;45723;80
33650;BA;BARRO PRETO;6168;112;123;408;611;1408;1163;1333;572;312;125;2975;3191;2
33677;BA;BELMONTE;16115;209;318;968;1579;3735;3127;3407;1504;865;402;8170;7941;4
33693;BA;BELO CAMPO;15147;231;263;893;1358;3286;2728;3220;1436;1070;662;7575;7566;6
33715;BA;BIRITINGA;12317;111;200;697;1179;3035;2319;2530;1131;729;386;6382;5930;5
33731;BA;BOA NOVA;13796;273;269;786;1244;2958;2344;2702;1395;1075;748;6814;6974;8
33758;BA;BOA VISTA DO TUPIM;13516;120;179;845;1470;3152;2382;2922;1300;787;358;6840;6655;21
33774;BA;BOM JESUS DA LAPA;45763;256;512;2614;4632;11456;8860;9649;3575;2182;2022;23645;22102;16
33782;BA;BOM JESUS DA SERRA;9340;168;199;599;911;2136;1692;1796;885;612;342;4556;4774;10
33790;BA;BONINAL;10510;246;230;774;1046;2224;1806;2082;1013;740;349;5442;5066;2
33804;BA;BONITO;12273;265;333;1071;1344;2848;2394;2361;849;485;323;6027;6228;18
33812;BA;BOQUIRA;16263;278;369;1105;1603;3527;2774;3380;1542;1167;518;8332;7927;4
33839;BA;BOTUPORÃ;9858;136;179;649;978;2220;1738;2087;878;593;400;4990;4867;1
33855;BA;BREJÕES;11462;68;97;571;1060;2789;2237;2409;1060;573;598;5770;5688;4
33871;BA;BREJOLÂNDIA;8171;148;166;430;622;1726;1510;1918;835;516;300;3935;4223;13
33898;BA;BROTAS DE MACAÚBAS;9200;174;187;556;793;1950;1471;2089;979;689;312;4476;4722;2
33910;BA;BRUMADO;47845;272;500;2689;4101;10975;9819;11361;4380;2654;1092;24585;23211;49
33936;BA;BUERAREMA;11641;118;171;712;1003;2287;2069;2826;1455;711;289;6081;5560;0
33952;BA;CAATIBA;8334;177;147;443;628;1751;1544;1690;806;588;559;4050;4280;4
33960;BA;CABACEIRAS DO PARAGUAÇU;10803;102;159;814;1209;2679;2211;2185;898;445;101;5854;4949;0
33979;BA;CACHOEIRA;25313;111;264;1451;2291;5997;5543;5634;2245;1288;489;13188;12105;20
33995;BA;CACULÉ;16304;110;192;875;1455;3615;3123;3620;1638;1123;552;8328;7966;10
34010;BA;CAEM;8580;127;189;574;828;1933;1546;1733;838;568;244;4434;4145;1
34029;BA;CAETANOS;9985;190;187;556;885;2304;1876;2116;900;634;336;4749;5231;5
34037;BA;CAETITÉ;39268;396;606;2423;3798;9274;7236;8387;3614;2187;1345;20080;19184;4
34053;BA;CAFARNAUM;13347;191;218;880;1282;3063;2611;2645;1142;735;578;6724;6605;18
34070;BA;CAIRU;13352;174;223;810;1255;3375;3061;2842;944;478;189;6848;6504;0
34096;BA;CALDEIRÃO GRANDE;9574;173;206;620;968;2304;1697;1840;878;638;249;4859;4711;4
34118;BA;CAMACÃ;18115;164;246;1074;1617;4088;3347;4074;1953;1064;488;9532;8581;2
34134;BA;CAMAÇARI;158125;350;1044;7893;14573;42633;38697;35385;11849;4333;1360;83949;74118;58
34150;BA;CAMAMU;25352;182;342;1586;2448;5986;4641;5333;2295;1327;1212;12957;12387;8
34177;BA;CAMPO ALEGRE DE LOURDES;22588;207;302;1306;1949;5031;4009;4791;2232;1418;1342;11638;10911;39
34193;BA;CAMPO FORMOSO;51338;727;957;3689;5010;12001;10096;10584;4461;2654;1156;26145;25180;13
34215;BA;CANÁPOLIS;8345;184;198;635;799;1824;1443;1696;800;511;255;4095;4241;9
34231;BA;CANARANA;17941;324;363;1277;1693;3982;3352;3994;1591;975;390;9187;8749;5
34258;BA;CANAVIEIRAS;21113;178;232;1195;1770;4539;4193;4915;2453;1182;456;11099;10014;0
34274;BA;CANDEAL;7294;119;162;463;642;1535;1455;1412;767;527;211;3700;3587;7
