cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
13005;CE;JIJOCA DE JERICOACOARA;14102;223;299;1087;1501;3631;2821;2675;959;564;342;7272;6820;10
13013;CE;ABAIARA;6467;117;159;549;636;1442;1322;1302;592;291;56;3301;3166;0
13021;CE;MADALENA;14152;247;280;1050;1453;2967;2537;2925;1320;818;554;7076;7069;7
13030;CE;ACARAÚ;44679;457;829;3362;4755;10847;8584;8334;3671;2196;1643;23020;21611;48
13048;CE;PIRES FERREIRA;8036;144;147;577;841;1757;1358;1652;721;489;350;3958;4064;14
13056;CE;ACOPIARA;38623;597;727;2412;3317;8224;7011;8479;4138;2670;1047;19879;18729;15
13064;CE;GRAÇA;13222;276;346;968;1301;2985;2282;2598;1125;765;575;6578;6638;6
13072;CE;AIUABA;11477;165;188;793;1081;2429;2071;2449;1155;744;402;5826;5646;5
13080;CE;TURURU;13686;234;264;1109;1553;3335;2463;2679;1101;669;278;6793;6882;11
13099;CE;ALCÂNTARAS;8744;185;213;750;887;2004;1537;1804;746;421;197;4557;4187;0
13102;CE;QUITERIANÓPOLIS;16949;293;279;1128;1466;3583;3182;3697;1539;1020;761;8639;8306;4
13110;CE;ALTANEIRA;5170;98;154;407;478;1045;1021;1051;552;292;72;2701;2469;0
13129;CE;BARREIRA;18691;280;328;1346;1808;4244;3495;3938;1664;911;676;9718;8960;13
13137;CE;ALTO SANTO;12681;159;243;793;1102;2919;2250;2820;1274;687;434;6390;6290;1
13145;CE;ACARAPE;12114;179;229;927;1266;2744;2273;2561;940;531;464;6206;5896;12
13153;CE;ANTONINA DO NORTE;7100;154;168;499;633;1529;1320;1354;654;521;268;3696;3401;3
13161;CE;CHOROZINHO;17572;287;340;1230;1873;4042;3396;3793;1355;789;465;8707;8857;8
13170;CE;APUIARÉS;12729;155;242;882;1201;2853;2368;2618;1097;720;592;6321;6391;17
13188;CE;HORIZONTE;48561;696;1192;3993;5465;13438;10370;9102;2991;1081;233;25192;23369;0
13196;CE;AQUIRAZ;51365;491;872;3742;5487;12281;10378;11246;4277;2019;571;26347;25018;0
13200;CE;ERERÊ;5428;102;92;359;467;1195;994;1128;582;328;181;2707;2718;3
13218;CE;ARACATI;54818;290;651;3457;5259;12674;10970;11732;4873;2852;2053;28325;26432;61
13226;CE;EUSÉBIO;38491;493;838;3064;4163;10002;8224;7701;2539;1114;350;20689;17802;0
13234;CE;ARACOIABA;24154;338;431;1707;2334;5629;4423;5124;2223;1278;666;12124;11992;38
13242;CE;GUAIÚBA;19607;201;339;1321;1969;4559;3849;3950;1563;1016;839;9897;9686;24
13250;CE;ARARIPE;17989;323;456;1462;1787;4168;3260;3358;1505;1061;609;9195;8772;22
13269;CE;POTIRETAMA;5510;101;124;370;479;1228;1046;1170;507;282;203;2674;2834;2
13277;CE;ARATUBA;10037;199;272;882;1139;2363;1820;2097;843;340;82;5037;5000;0
13285;CE;PINDORETAMA;17543;148;265;1129;1739;4009;3670;3704;1496;910;471;9135;8400;8
13293;CE;ARNEIROZ;7047;106;152;496;656;1434;1344;1393;711;470;284;3459;3581;7
13307;CE;OCARA;21094;332;511;1592;2178;5018;4060;4649;1842;770;141;10467;10627;0
13315;CE;ASSARÉ;19233;291;379;1396;1891;3863;3303;3848;1866;1404;990;9810;9390;33
13323;CE;TEJUÇUOCA;13240;286;317;1081;1325;3260;2474;2513;1160;598;225;6588;6652;0
13331;CE;AURORA;21147;255;348;1422;1896;4609;3862;4301;2075;1462;917;10676;10443;28
13340;CE;IPAPORANGA;8638;151;211;700;725;1561;1509;2064;949;558;209;4355;4283;0
13358;CE;BAIXIO;5518;60;86;325;499;1211;1039;1159;562;365;210;2772;2746;0
13366;CE;TARRAFAS;7545;159;161;519;702;1606;1286;1607;754;470;279;3821;3722;2
13374;CE;BARBALHA;39501;332;668;2947;3804;9587;7866;7989;3436;1989;881;21321;18180;0
13382;CE;BANABUIÚ;13235;347;319;1082;1345;2882;2316;2919;1162;618;245;6690;6545;0
13390;CE;BARRO;17146;208;267;1176;1556;3449;3303;3510;1674;1202;801;8797;8330;19
13404;CE;BARROQUINHA;12974;304;351;1057;1356;3066;2476;2277;1192;648;247;6449;6525;0
13412;CE;BATURITÉ;23969;295;496;1935;2536;5500;4875;5432;1962;769;166;12667;11302;0
13420;CE;ARARENDÁ;9175;183;168;629;808;2005;1556;1901;984;565;376;4634;4533;8
13439;CE;BEBERIBE;43090;405;715;2584;4036;9492;8839;8985;4086;2353;1591;21732;21348;10
13447;CE;CATUNDA;8713;165;167;617;823;1961;1534;1802;864;485;295;4270;4436;7
13455;CE;BELA CRUZ;18298;257;383;1480;1802;4304;3534;3987;1796;677;78;9585;8713;0
13463;CE;CHORÓ;11931;172;228;948;1299;2627;1940;2486;1104;623;502;5818;6104;9
13471;CE;BOA VIAGEM;43222;584;797;3057;4031;8917;7356;9080;4425;2871;2100;21899;21300;23
13480;CE;ITAITINGA;25282;317;546;2023;2660;6199;5202;5149;1858;982;345;13294;11988;0
13498;CE;BREJO SANTO;31098;332;582;2317;3033;7218;6090;6529;2863;1573;561;16750;14348;0
13501;CE;FORTIM;13561;189;250;957;1411;3152;2749;2770;1209;643;230;6898;6647;16
13510;CE;CAMOCIM;41199;523;828;3269;4106;9808;8470;8730;3600;1569;293;21823;19376;0
13536;CE;CAMPOS SALES;21108;370;468;1510;1998;4579;3546;4224;2056;1407;945;11204;9900;4
13552;CE;CANINDÉ;58159;497;1022;4050;5877;12955;10074;12111;5446;3379;2745;29959;28126;74
13579;CE;CAPISTRANO;14227;198;301;1158;1566;3514;2727;2960;1172;494;137;7226;7001;0
13595;CE;CARIDADE;14587;256;337;1269;1544;3466;2742;3108;1291;481;93;7375;7212;0
13617;CE;CARIRÉ;13134;248;344;1073;1148;2602;2374;3082;1377;697;189;6723;6411;0
13633;CE;CARIRIAÇU;20625;383;519;1740;2004;4527;4005;4227;2077;924;219;10785;9840;0
13650;CE;CARIÚS;13391;264;276;857;1207;2635;2427;3292;1505;760;167;6757;6634;0
13676;CE;CARNAUBAL;14297;291;305;1078;1387;3176;2673;2873;1153;770;590;7275;7019;3
13692;CE;CASCAVEL;55351;541;877;3752;5564;11832;11096;11767;4892;2875;2149;28417;26899;35
13714;CE;CATARINA;9466;149;153;634;782;2039;1636;2053;970;597;451;4796;4666;4
13730;CE;CAUCAIA;213181;992;2382;15906;24351;52745;42018;46545;15459;7840;4938;112358;100635;188
13757;CE;CEDRO;21056;315;459;1397;1821;4300;3743;4474;2375;1473;699;10820;10215;21
13773;CE;CHAVAL;11154;182;259;818;1148;2553;2175;2170;883;657;308;5615;5532;7
13811;CE;COREAÚ;19473;393;471;1451;1960;4412;3401;3900;1711;1000;773;9852;9606;15
13838;CE;CRATEÚS;52758;526;852;3381;4789;10619;9913;12527;5628;3267;1251;28086;24672;0
13854;CE;CRATO;76927;430;1163;5588;7404;17967;15843;17239;7261;3246;782;42604;34323;0
13870;CE;FARIAS BRITO;14208;239;267;1047;1335;3041;2703;3125;1528;759;164;7428;6780;0
13897;CE;FORTALEZA;1692712;3775;11509;95018;156800;396877;341214;399971;152962;78934;55601;928307;762318;2087
13919;CE;FRECHEIRINHA;10665;243;285;952;1180;2364;1892;2146;954;486;163;5481;5184;0
13935;CE;GENERAL SAMPAIO;7500;177;198;656;847;1725;1335;1399;710;333;120;3668;3831;1
13951;CE;GRANJA;41976;878;1116;3638;4582;9418;7590;7481;3482;2295;1494;20707;21199;70
13978;CE;GRANJEIRO;4870;124;126;367;429;1140;899;962;467;247;109;2502;2368;0
13994;CE;GROAÍRAS;7841;152;198;578;786;1591;1356;1841;765;434;140;3976;3865;0
14010;CE;GUARACIABA DO NORTE;32950;400;620;2429;3397;7308;6081;6550;3001;1785;1375;16931;15984;35
14036;CE;GUARAMIRANGA;5728;83;112;428;574;1296;1054;1225;504;272;180;2859;2865;4
14052;CE;HIDROLÂNDIA;16570;317;308;1109;1467;3537;2873;3341;1664;1088;866;8394;8159;17
14060;CE;IBARETAMA;11854;235;257;911;1259;2617;2078;2498;1174;608;213;5950;5899;5
14079;CE;IBIAPINA;15896;204;347;1283;1437;3449;2730;3490;1628;842;484;8324;7571;1
14095;CE;ICÓ;54121;620;906;3296;4887;11982;9712;11706;5248;3125;2635;28223;25750;148
14117;CE;IGUATU;60396;502;963;4054;5180;13768;12185;14619;6201;2433;487;32469;27927;0
14133;CE;INDEPENDÊNCIA;22117;362;398;1511;1837;4432;4183;4759;2161;1480;994;11109;10992;16
14150;CE;IPAUMIRIM;9618;155;172;631;906;2127;1747;1877;991;650;361;4882;4727;9
14176;CE;IPU;33808;428;689;2214;3145;7172;6051;7061;3100;2091;1854;17341;16426;41
14192;CE;IPUEIRAS;33489;459;627;2440;3226;7169;5848;6713;3268;2064;1670;16972;16501;16
14214;CE;IRACEMA;11761;165;197;759;983;2638;1999;2551;1316;741;412;6154;5599;8
14230;CE;IRAUÇUBA;15168;293;410;1292;1565;3552;2813;3126;1270;626;220;7831;7337;0
14257;CE;ITAIÇABA;6804;89;112;416;623;1582;1203;1556;652;366;205;3516;3287;1
14273;CE;ITAPAGÉ;33040;413;685;2645;3358;7740;6778;6915;2717;1328;460;17420;15620;0
14290;CE;ITAPIPOCA;79312;1207;1944;6991;8632;19939;15661;16255;6275;2057;347;41004;38308;0
14311;CE;ITAPIÚNA;14147;248;326;1144;1594;3262;2619;3077;1331;452;93;7228;6919;0
14338;CE;ITATIRA;18186;470;466;1425;1989;4099;3052;3492;1675;952;566;9052;9119;15
14354;CE;JAGUARETAMA;15977;208;248;1046;1545;3375;2828;3390;1657;866;814;7964;7978;35
14370;CE;JAGUARIBARA;8172;123;164;471;718;1867;1544;1664;828;472;319;4164;4004;4
14397;CE;JAGUARIBE;30495;346;527;1897;2614;6462;5215;6729;3267;1884;1549;15810;14660;25
14419;CE;JAGUARUANA;28279;351;416;1682;2721;6398;5268;6120;2665;1519;1139;14474;13755;50
14435;CE;JARDIM;19902;210;388;1544;1761;4522;3901;3791;1896;1322;566;10514;9387;1
14451;CE;JATI;6266;86;117;462;545;1321;1140;1352;605;427;210;3263;3003;0
14478;CE;JUAZEIRO DO NORTE;160170;615;1749;11546;16636;39943;34304;33485;13962;6567;1356;88268;71902;0
14494;CE;JUCÁS;17656;335;411;1295;1530;3597;3171;4109;1963;1015;230;9247;8409;0
14516;CE;LAVRAS DA MANGABEIRA;25664;386;464;1639;2230;5293;4508;5316;2664;1783;1379;13047;12605;12
14532;CE;LIMOEIRO DO NORTE;40182;337;663;2737;3648;8950;8051;10072;3957;1485;282;21209;18973;0
14559;CE;MARANGUAPE;75927;454;951;4881;7679;18156;15116;16578;5898;3610;2599;39413;36416;98
14575;CE;MARCO;19622;343;505;1715;2234;5158;3720;3813;1383;630;121;10042;9580;0
14591;CE;MARTINÓPOLE;9641;232;281;912;1127;2216;1724;1759;704;441;244;4820;4805;16
14613;CE;MASSAPÊ;29655;452;678;2323;3098;6733;5519;5706;2336;1511;1293;15296;14333;26
14630;CE;MAURITI;35510;408;677;2591;3562;8020;6896;7022;3088;1926;1319;18246;17212;52
14656;CE;MERUOCA;10078;101;194;771;1058;2472;1776;1997;951;487;271;5243;4835;0
14672;CE;MILAGRES;19844;314;423;1424;1760;4459;3940;4366;1884;993;280;10421;9423;0
14680;CE;MIRAÍMA;10272;238;286;892;1131;2381;1928;2055;834;413;113;5015;5257;0
14699;CE;MISSÃO VELHA;25552;354;535;1937;2488;5916;4916;5207;2383;1359;457;13508;12044;0
14710;CE;MOMBAÇA;34155;481;599;2225;3066;7306;5657;7103;3680;2457;1578;17675;16450;30
14737;CE;MONSENHOR TABOSA;15361;255;294;1167;1522;3383;2591;3117;1495;892;644;7705;7643;13
14753;CE;MORADA NOVA;58074;613;882;3564;4947;12514;11022;12966;5778;3390;2394;29439;28560;75
14770;CE;MORAÚJO;7263;139;177;569;739;1673;1367;1364;624;354;257;3599;3651;13
14796;CE;MORRINHOS;16814;355;436;1441;1822;4107;2991;3129;1382;866;285;8553;8256;5
14818;CE;MUCAMBO;13423;271;302;1007;1295;2887;2153;2781;1281;817;629;6993;6415;15
14834;CE;MULUNGU;7587;82;152;591;775;1755;1458;1683;726;290;74;3910;3677;0
14850;CE;NOVA OLINDA;11065;203;238;903;1187;2622;2178;2198;910;494;131;5752;5313;0
14877;CE;NOVA RUSSAS;24116;278;418;1667;2283;5090;4192;5129;2546;1575;938;12625;11466;25
14893;CE;NOVO ORIENTE;22714;368;499;1585;2171;4621;4082;5019;2207;1327;832;11837;10864;13
14915;CE;ORÓS;18819;211;291;948;1450;3983;3406;4213;2198;1261;855;9821;8954;44
14931;CE;PACAJUS;49691;494;898;3862;5293;12157;10087;9920;3535;2047;1397;25690;23980;21
14958;CE;PACATUBA;46459;321;665;3376;4802;11457;9363;10088;3383;1839;1164;24482;21957;20
14974;CE;PACOTI;10586;95;158;719;1072;2478;1904;2313;923;585;338;5311;5271;4
14990;CE;PACUJÁ;6006;133;148;458;600;1351;1021;1195;566;350;184;3080;2926;0
15016;CE;PALHANO;8487;126;145;495;703;2100;1666;1759;863;443;186;4289;4194;4
15032;CE;PALMÁCIA;9359;131;161;656;942;2182;1720;1984;882;486;215;4694;4654;11
15059;CE;PARACURU;30046;313;594;2164;2877;6695;6190;6196;2558;1414;1045;15252;14777;17
15075;CE;PARAMBU;28093;428;581;2055;2725;5964;4907;6076;2615;1757;985;14821;13244;28
15091;CE;PARAMOTI;8741;180;211;738;928;1927;1659;1996;761;278;62;4403;4338;0
15113;CE;PEDRA BRANCA;37224;605;766;2787;3507;7602;6482;7405;3699;2375;1994;19258;17929;37
15130;CE;PENAFORTE;7263;186;177;624;709;1741;1426;1448;547;292;113;3727;3536;0
15156;CE;PENTECOSTE;32218;439;569;2310;3124;7617;6163;6826;2581;1641;945;16257;15933;28
15172;CE;PEREIRO;14837;254;330;1158;1337;3437;2661;2869;1416;780;594;7404;7422;11
15199;CE;PIQUET CARNEIRO;11346;152;203;670;931;2269;2044;2521;1359;888;307;5830;5507;9
15210;CE;PORANGA;10271;203;241;774;1022;2248;1857;1966;912;679;369;5130;5138;3
15237;CE;PORTEIRAS;12021;136;234;869;1094;2731;2322;2399;1131;757;347;6299;5722;0
15253;CE;POTENGI;7839;144;161;570;760;1741;1344;1604;697;521;297;4072;3762;5
15270;CE;QUIXADÁ;57963;390;808;3924;6139;12665;10338;12589;5431;3270;2405;30275;27631;57
15296;CE;QUIXERAMOBIM;56997;478;884;3806;5781;12211;10203;12301;5510;3393;2424;28985;27993;19
15318;CE;QUIXERÉ;15910;288;337;1194;1636;3772;3071;3460;1454;579;119;8128;7782;0
15334;CE;REDENÇÃO;25076;250;420;1663;2388;5545;4667;5521;2343;1284;994;12963;12086;27
15350;CE;RERIUTABA;16718;273;349;1151;1499;3527;2936;3306;1591;1113;972;8459;8229;30
15377;CE;RUSSAS;53610;382;598;3398;5117;12590;10576;11708;4873;2590;1774;28236;25365;9
15393;CE;SABOEIRO;13675;241;240;952;1297;2854;2283;2816;1512;944;536;6994;6680;1
15415;CE;SANTANA DO ACARAÚ;25177;392;542;1992;2671;6148;4700;4721;2021;1412;577;12666;12500;11
15431;CE;SANTANA DO CARIRI;11742;270;286;950;1141;2564;2108;2454;1094;639;235;6032;5710;0
15440;CE;SALITRE;13153;263;324;1042;1348;3224;2463;2429;1052;679;327;6580;6569;4
15458;CE;SANTA QUITÉRIA;35362;452;621;2389;3363;7695;6329;7293;3260;2098;1860;17973;17360;29
15474;CE;SÃO BENEDITO;38786;601;814;2826;4010;9028;6987;7428;3322;2046;1721;19865;18899;22
15490;CE;SÃO GONÇALO DO AMARANTE;42227;434;740;3150;4399;9865;8403;8507;3418;1929;1378;21079;21124;24
15512;CE;SÃO JOÃO DO JAGUARIBE;7501;87;120;417;539;1386;1384;1829;880;542;315;3856;3643;2
15539;CE;SÃO LUÍS DO CURU;11919;200;241;761;1188;2843;2239;2542;1087;566;251;6079;5830;10
15555;CE;SENADOR POMPEU;21926;242;373;1446;2015;4564;3760;4799;2239;1539;946;11358;10554;14
15571;CE;SENADOR SÁ;6131;148;148;534;646;1510;1124;1126;522;284;89;3071;3058;2
15598;CE;SOBRAL;131395;1013;2152;10445;14123;33410;26302;28172;10495;4318;963;70028;61367;0
15610;CE;SOLONÓPOLE;15031;213;264;893;1326;3013;2583;3333;1633;1021;752;7645;7365;21
15636;CE;TABULEIRO DO NORTE;25461;286;388;1716;2273;5335;4994;6038;2395;1356;679;13354;12090;17
15652;CE;TAMBORIL;21514;284;342;1541;2224;4742;3659;4444;2208;1260;809;10913;10584;17
15679;CE;TAUÁ;45156;512;790;2902;3985;9531;8135;9787;4597;3106;1807;23567;21533;56
15695;CE;TIANGUÁ;47175;549;1134;3762;5134;11392;9002;9507;3927;2006;762;25209;21966;0
15717;CE;TRAIRI;43009;488;909;3193;4468;10287;8079;8271;3422;2152;1740;21478;21479;52
15733;CE;UBAJARA;21552;247;430;1656;2202;5062;4370;4675;1983;740;187;11321;10231;0
15750;CE;UMARI;6494;112;131;418;589;1428;1178;1328;689;447;174;3242;3247;5
15776;CE;URUBURETAMA;17003;224;344;1346;1860;4239;3123;3347;1323;772;422;8588;8395;20
