cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
56006;ES;SÃO DOMINGOS DO NORTE;6802;64;97;383;532;1462;1345;1816;751;283;69;3288;3514;0
56014;ES;AFONSO CLÁUDIO;25278;86;172;1102;1876;5263;5230;6117;2822;1625;984;12757;12508;13
56022;ES;ÁGUA DOCE DO NORTE;9635;153;212;653;775;1938;1925;2394;1032;429;124;4884;4751;0
56030;ES;ALEGRE;22601;131;265;1251;1866;4677;4132;5618;2649;1373;637;11676;10925;0
56049;ES;IRUPI;10671;170;210;666;866;2495;2311;2254;963;466;270;5216;5451;4
56057;ES;ALFREDO CHAVES;11969;108;110;565;857;2297;2334;3024;1425;743;506;5895;6061;13
56065;ES;ALTO RIO NOVO;6310;76;105;348;508;1382;1285;1437;664;335;170;3201;3106;3
56073;ES;ANCHIETA;23315;169;290;1260;1872;5343;4904;5570;2292;1056;559;11748;11550;17
56081;ES;VILA PAVÃO;6772;39;95;352;559;1470;1436;1754;653;285;128;3328;3444;0
56090;ES;APIACÁ;6021;37;76;312;474;1165;1151;1492;735;377;202;3065;2956;0
56103;ES;MARECHAL FLORIANO;11410;36;124;664;922;2545;2539;2978;1181;359;62;5732;5678;0
56111;ES;ARACRUZ;67589;265;608;4112;6287;16506;14491;15663;5951;2401;1301;34088;33422;79
56120;ES;MARATAÍZES;27783;206;304;1445;2179;5888;5512;6728;3082;1558;881;14498;13281;4
56138;ES;ATÍLIO VIVÁCQUA;8837;49;105;439;637;1897;1676;2244;967;501;322;4343;4486;8
56146;ES;BREJETUBA;9605;60;138;569;792;2293;2173;2153;797;389;240;4549;5052;4
56154;ES;BAIXO GUANDU;22058;118;216;1264;1865;4506;4569;5875;2471;993;179;11446;10612;0
56162;ES;SÃO ROQUE DO CANAÃ;8728;59;108;498;736;1810;1751;2417;997;306;46;4276;4452;0
56170;ES;BARRA DE SÃO FRANCISCO;33842;184;357;1864;2687;7150;6656;8081;3469;2004;1387;17448;16365;29
56189;ES;SOORETAMA;18868;136;246;1127;1847;4646;4222;4087;1462;709;384;9452;9407;9
