cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
92010;GO;ABADIÂNIA;10668;158;213;674;828;2062;2204;2611;1035;594;289;5334;5334;0
92029;GO;BONFINÓPOLIS;6495;91;113;410;547;1383;1371;1556;569;342;113;3309;3186;0
92037;GO;ÁGUA LIMPA;2236;48;59;153;175;404;404;533;272;139;49;1076;1160;0
92053;GO;ALEXÂNIA;19354;214;331;1299;1787;4054;4212;4363;1829;930;335;9819;9535;0
92061;GO;CAMPOS VERDES;4691;78;70;265;412;909;872;1186;524;273;102;2237;2454;0
92096;GO;ALOÂNDIA;2110;27;33;117;145;366;379;522;260;172;89;1038;1071;1
92100;GO;CEZARINA;7096;85;129;406;604;1446;1523;1728;719;345;111;3525;3571;0
92118;GO;ALTO PARAÍSO DE GOIÁS;5734;43;65;334;467;1348;1265;1304;520;254;133;2902;2832;0
92126;GO;COLINAS DO SUL;3888;62;90;240;352;824;814;866;352;202;86;1794;2092;2
92150;GO;ALVORADA DO NORTE;6059;103;139;437;474;1337;1254;1397;530;279;109;3124;2935;0
92169;GO;MORRO AGUDO DE GOIÁS;2466;33;31;132;192;416;495;651;289;168;59;1185;1281;0
92177;GO;AMORINÓPOLIS;3897;43;54;200;274;702;721;1066;443;257;137;1911;1986;0
92207;GO;EDEALINA;3801;70;61;223;291;740;766;935;410;231;74;1840;1961;0
92215;GO;ANÁPOLIS;260567;631;1575;14700;23992;59846;55053;65244;25011;11142;3372;138615;121952;0
92223;GO;FAINA;6050;93;109;377;366;1069;1247;1622;706;348;113;2901;3149;0
92231;GO;ANHANGÜERA;1093;17;11;60;81;226;215;253;160;57;13;526;567;0
92258;GO;ANICUNS;17177;120;199;890;1351;3502;3515;4385;1753;932;530;8574;8599;4
92266;GO;GOUVELÂNDIA;4047;36;61;227;332;854;823;971;429;223;91;1947;2100;0
92274;GO;APARECIDA DE GOIÂNIA;280849;784;2093;19096;29526;72370;63826;64943;20602;6423;1184;148404;132445;0
92282;GO;ITAGUARI;4401;64;70;276;356;861;866;1155;469;241;43;2205;2196;0
92290;GO;APORÉ;2838;30;39;138;230;625;544;757;275;144;56;1392;1446;0
92312;GO;ARAÇU;4512;53;65;266;332;903;845;1114;470;312;152;2227;2285;0
92320;GO;MATRINCHÃ;3875;42;68;181;252;830;787;989;399;211;116;1868;2005;2
92339;GO;ARAGARÇAS;14765;141;187;810;1270;2906;3026;3504;1545;815;561;7662;7097;6
92347;GO;MIMOSO DE GOIÁS;2975;44;70;172;235;611;641;673;297;150;82;1401;1572;2
92355;GO;ARAGOIÂNIA;7642;71;109;464;620;1609;1561;1972;795;361;80;3895;3747;0
92363;GO;MONTIVIDIU;8912;91;169;566;875;2111;1857;2167;711;288;77;4372;4540;0
92444;GO;NOVO PLANALTO;3654;50;80;224;276;728;758;940;337;192;69;1762;1891;1
92460;GO;PALESTINA DE GOIÁS;3324;49;59;158;287;626;633;913;352;188;59;1618;1706;0
92495;GO;ARUANÃ;5800;77;82;387;454;1232;1246;1433;628;217;44;2814;2986;0
92517;GO;AURILÂNDIA;3192;29;29;134;219;561;570;866;452;258;74;1614;1578;0
92550;GO;AVELINÓPOLIS;3773;53;45;198;282;775;769;926;429;214;82;1862;1911;0
92568;GO;SANTA FÉ DE GOIÁS;4510;72;85;261;371;1041;960;1032;388;188;112;2146;2364;0
92614;GO;BALIZA;3401;46;59;165;249;644;685;913;389;186;65;1497;1904;0
92622;GO;SÃO JOÃO DA PARAÚNA;2170;32;32;128;165;419;426;541;222;136;69;1072;1098;0
92630;GO;BARRO ALTO;8346;119;156;507;770;1990;1775;1933;671;322;103;4090;4256;0
92649;GO;SÃO LUIZ DO NORTE;4504;87;81;246;362;1002;931;1081;408;203;103;2114;2390;0
92657;GO;BELA VISTA DE GOIÁS;20478;121;212;1159;1807;4419;4307;5186;2128;928;211;10197;10281;0
92665;GO;SÃO MIGUEL DO PASSA QUATRO;3709;41;49;176;265;748;773;946;424;197;90;1800;1909;0
92673;GO;BOM JARDIM DE GOIÁS;7508;101;110;413;581;1274;1472;1838;951;541;227;3678;3827;3
92690;GO;BOM JESUS DE GOIÁS;16748;123;241;1092;1438;3696;3595;3995;1409;731;426;8275;8473;0
92703;GO;SENADOR CANEDO;65611;332;718;4889;6789;17380;15181;14443;4088;1472;319;34486;31125;0
92711;GO;BRAZABRANTES;3124;43;63;187;262;699;584;761;316;160;49;1579;1545;0
92720;GO;SIMOLÂNDIA;5340;106;126;367;446;1241;1092;1192;451;226;93;2686;2654;0
92754;GO;BRITÂNIA;5033;68;77;270;366;1054;1042;1257;516;267;116;2429;2601;3
92762;GO;TERESINA DE GOIÁS;2792;45;63;197;273;669;511;532;265;149;88;1325;1465;2
92770;GO;BURITI ALEGRE;7657;53;111;432;551;1365;1418;2008;896;579;242;3916;3741;0
92789;GO;TROMBAS;2666;33;57;176;177;468;466;733;334;175;47;1307;1359;0
92797;GO;CABECEIRAS;6430;120;136;417;586;1486;1377;1428;529;268;83;3167;3262;1
92800;GO;TURVELÂNDIA;5256;86;93;338;476;1408;1049;1166;378;178;84;2350;2906;0
92819;GO;CACHOEIRA ALTA;7172;66;101;441;607;1605;1427;1744;693;383;105;3539;3633;0
92827;GO;RIO QUENTE;3377;53;71;203;290;699;764;828;323;124;22;1631;1746;0
92835;GO;CACHOEIRA DE GOIÁS;1689;24;38;103;132;325;319;442;166;97;43;825;864;0
92851;GO;CAÇU;10012;57;109;534;748;2049;2002;2460;1120;642;291;4968;5043;1
92860;GO;GUARINOS;2244;32;37;122;150;411;414;604;243;176;55;1044;1200;0
92878;GO;CAIAPÔNIA;12456;99;167;699;906;2407;2460;3280;1439;761;238;6385;6071;0
92886;GO;COCALZINHO DE GOIÁS;14634;165;239;975;1255;3304;3207;3345;1351;623;170;7217;7417;0
92894;GO;CALDAS NOVAS;52828;230;654;3492;4651;12028;11717;13124;4895;1774;263;28005;24823;0
92908;GO;SANTO ANTÔNIO DE GOIÁS;5839;63;115;408;549;1424;1267;1319;471;183;40;2958;2881;0
92916;GO;CAMPESTRE DE GOIÁS;3621;66;71;228;332;754;747;868;303;197;55;1773;1848;0
92924;GO;CHAPADÃO DO CÉU;6542;75;130;412;643;1928;1597;1340;314;82;21;3138;3404;0
92932;GO;CAMPINORTE;8463;93;147;540;633;1760;1819;2096;896;362;117;4227;4236;0
92940;GO;ALTO HORIZONTE;5340;67;104;383;533;1287;1174;1193;402;153;43;2623;2717;0
92959;GO;CAMPO ALEGRE DE GOIÁS;4878;71;86;306;365;994;1072;1191;486;218;89;2326;2552;0
92967;GO;CASTELÂNDIA;3497;59;68;207;311;705;737;854;340;165;51;1688;1809;0
92975;GO;CAMPOS BELOS;12929;113;214;869;1143;3104;2824;2879;1110;519;154;6644;6285;0
92983;GO;JESÚPOLIS;2591;35;46;148;204;509;508;643;287;152;59;1211;1380;0
92991;GO;CARMO DO RIO VERDE;7421;99;92;450;591;1468;1509;1825;825;413;148;3657;3764;0
93009;GO;APARECIDA DO RIO DOCE;2898;44;52;145;243;651;606;671;267;174;45;1385;1513;0
93017;GO;CATALÃO;65342;244;706;3745;5371;14703;13881;15974;6584;2929;1205;34052;31290;0
93025;GO;CIDADE OCIDENTAL;33440;246;531;2547;3275;8297;7852;7342;2452;739;158;18325;15115;0
93033;GO;CATURAÍ;4128;41;76;247;322;848;831;1072;431;194;66;2050;2078;0
93041;GO;PROFESSOR JAMIL;3599;43;52;201;266;659;687;906;401;232;152;1723;1876;0
93050;GO;CAVALCANTE;7612;135;136;559;715;1696;1349;1581;673;438;330;3590;4020;2
93068;GO;PEROLÂNDIA;2848;39;60;201;247;581;604;670;265;128;53;1354;1494;0
93076;GO;CERES;16417;94;161;938;1436;3244;3200;4345;1783;924;292;8641;7775;1
93084;GO;NOVA IGUAÇU DE GOIÁS;2864;56;56;175;237;605;614;652;290;145;34;1382;1482;0
93092;GO;DIVINÓPOLIS DE GOIÁS;4971;73;86;297;421;1159;1014;1123;455;242;101;2347;2624;0
93106;GO;BURITI DE GOIÁS;3230;43;52;173;262;646;626;843;350;163;72;1571;1659;0
93122;GO;CALDAZINHA;3034;33;57;168;260;569;664;716;368;157;42;1483;1551;0
93149;GO;GUARAÍTA;2469;37;42;112;199;462;467;720;262;132;36;1196;1273;0
93157;GO;CÓRREGO DO OURO;2788;45;41;129;220;505;528;719;344;198;59;1351;1437;0
93165;GO;INACIOLÂNDIA;4915;68;68;256;374;1016;981;1205;473;312;161;2370;2544;1
93173;GO;CORUMBÁ DE GOIÁS;7312;52;117;406;583;1489;1517;1713;788;460;187;3589;3723;0
93181;GO;MONTIVIDIU DO NORTE;3006;55;71;183;209;472;641;832;338;172;33;1442;1564;0
93190;GO;CORUMBAÍBA;6046;38;87;327;487;1184;1153;1593;688;366;123;2999;3047;0
93203;GO;SANTO ANTÔNIO DA BARRA;3735;58;71;235;310;820;801;866;364;168;42;1776;1959;0
93220;GO;TEREZÓPOLIS DE GOIÁS;5818;71;87;381;520;1326;1288;1384;454;243;64;2962;2856;0
93246;GO;UIRAPURU;2654;43;46;153;217;476;505;684;287;185;58;1240;1413;1
93254;GO;CRISTALINA;33443;179;404;2185;3176;7802;7390;7641;2692;1236;738;16788;16655;0
93262;GO;BURITINÓPOLIS;3166;77;67;221;290;727;629;685;252;162;56;1518;1648;0
93270;GO;CRISTIANÓPOLIS;3147;35;58;168;245;574;639;782;379;201;66;1543;1604;0
93289;GO;VILA BOA;4047;85;80;265;380;1015;840;894;288;131;69;1954;2091;2
93297;GO;CRIXÁS;12645;111;203;687;1049;2640;2658;3208;1227;637;225;6127;6516;2
93300;GO;VALPARAÍSO DE GOIÁS;68702;632;1290;5872;7019;17494;15962;14679;4385;1171;198;37801;30901;0
93319;GO;CROMÍNIA;3719;47;58;185;249;713;747;955;410;262;93;1841;1878;0
93327;GO;NOVO GAMA;52400;365;664;3764;6092;13138;12080;10787;3354;1547;609;27708;24687;5
93335;GO;CUMARI;2406;28;28;136;183;409;414;633;317;197;61;1185;1221;0
93343;GO;ÁGUAS LINDAS DE GOIÁS;88002;799;1603;7829;10436;21878;20866;18198;4225;1658;509;46163;41839;0
93351;GO;DAMIANÓPOLIS;3362;46;60;195;276;761;717;714;349;174;70;1659;1703;0
93360;GO;ABADIA DE GOIÁS;8008;103;131;493;718;1940;1725;1873;681;269;75;4098;3910;0
93378;GO;DAMOLÂNDIA;3333;47;54;192;266;653;626;930;378;147;40;1665;1668;0
93386;GO;AMARALINA;2812;40;64;153;200;535;546;794;310;119;51;1328;1484;0
93394;GO;DAVINÓPOLIS;3182;45;48;172;241;643;658;780;375;155;65;1503;1679;0
93408;GO;BONÓPOLIS;2981;43;66;213;273;610;622;642;295;148;69;1384;1596;1
93424;GO;PORTEIRÃO;3488;52;64;195;319;875;789;758;255;132;49;1581;1907;0
93432;GO;DIORAMA;2493;27;42;138;193;448;440;687;291;168;59;1229;1264;0
93440;GO;SANTA RITA DO NOVO DESTINO;2625;47;56;140;192;492;505;751;274;125;43;1243;1382;0
93483;GO;SÃO PATRÍCIO;2927;51;56;172;264;590;565;741;288;154;46;1393;1534;0
93491;GO;EDÉIA;8849;79;147;586;722;1650;1913;2215;905;492;139;4493;4356;0
93505;GO;VILA PROPÍCIO;4542;75;97;260;364;903;904;1179;484;218;58;2170;2372;0
93513;GO;ESTRELA DO NORTE;2671;50;53;173;221;489;510;694;319;135;27;1362;1309;0
93530;GO;FAZENDA NOVA;5590;50;75;268;371;981;1004;1556;689;382;214;2773;2816;1
93548;GO;IPIRANGA DE GOIÁS;3152;52;59;169;228;573;577;846;337;193;118;1482;1669;1
93564;GO;GAMELEIRA DE GOIÁS;3272;43;52;174;236;631;730;835;368;162;41;1557;1715;0
