cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
7005;MA;ÁGUA DOCE DO MARANHÃO;11411;247;278;764;1196;2856;2129;2039;899;614;389;5626;5779;6
7013;MA;AFONSO CUNHA;6291;212;216;603;702;1562;1055;1048;461;335;97;2945;3345;1
7021;MA;ALTO ALEGRE DO MARANHÃO;17336;394;436;1318;1660;4231;3113;3223;1437;879;645;8986;8336;14
7030;MA;ALCÂNTARA;17712;227;320;1086;1615;4524;3364;3529;1531;977;538;8434;9275;3
7048;MA;ALTO ALEGRE DO PINDARÉ;20887;434;534;1714;2059;4665;3578;3549;1875;1355;1123;10221;10658;8
7056;MA;ALDEIAS ALTAS;17975;450;445;1366;1745;4482;3179;3417;1524;942;425;8892;9080;3
7064;MA;APICUM-AÇU;11844;280;320;985;1386;3144;2031;1997;844;488;369;5894;5945;5
7072;MA;ALTAMIRA DO MARANHÃO;7808;208;194;671;787;1731;1430;1588;617;388;194;3925;3881;2
7080;MA;AMAPÁ DO MARANHÃO;5252;159;157;475;571;1338;941;879;368;257;107;2484;2768;0
7099;MA;ALTO PARNAÍBA;8188;197;207;612;796;1949;1322;1636;732;400;337;3888;4299;1
7102;MA;ARAGUANÃ;7910;183;209;676;755;1833;1363;1386;646;468;390;3845;4056;9
7110;MA;AMARANTE DO MARANHÃO;25266;509;602;1998;2591;6348;4600;4610;2032;1222;754;12318;12940;8
7129;MA;BACABEIRA;13400;265;306;1036;1394;3786;2644;2468;868;449;184;6950;6444;6
7137;MA;ANAJATUBA;20160;254;396;1251;1717;4821;3963;3931;1757;1175;894;9986;10173;1
7145;MA;BACURITUBA;4809;104;99;322;430;1159;929;1044;427;214;81;2402;2407;0
7153;MA;ANAPURUS;12374;325;392;1053;1341;3197;2282;2212;946;458;166;6068;6303;3
7161;MA;BELÁGUA;5723;179;214;632;732;1502;962;954;326;155;67;2803;2920;0
7170;MA;ARAIOSES;32769;598;747;2372;3071;7844;5844;5795;2902;1912;1680;16299;16461;9
7188;MA;BELA VISTA DO MARANHÃO;9394;223;260;724;910;2300;1688;1561;748;563;415;4660;4729;5
7196;MA;ARARI;22524;323;456;1561;2121;5461;4295;4517;1879;1115;796;11422;11093;9
7200;MA;BERNARDO DO MEARIM;5260;115;114;361;489;1287;989;1020;452;275;157;2633;2626;1
7218;MA;AXIXÁ;10145;195;241;742;1003;2506;1885;1799;765;543;466;5114;5026;5
7226;MA;CACHOEIRA GRANDE;7820;196;237;724;901;1922;1267;1286;525;456;306;3752;4066;2
7234;MA;BACABAL;54158;623;1135;4194;4989;13092;11003;11903;5047;1838;333;30073;24085;0
7242;MA;DAVINÓPOLIS;11726;211;316;946;1168;2976;2098;2050;892;606;463;5859;5865;2
7250;MA;BACURI;13737;232;320;1011;1577;3438;2403;2365;1080;755;553;6952;6774;11
7269;MA;BOM JESUS DAS SELVAS;19136;397;546;1603;1908;4741;3586;3481;1517;862;493;8952;10180;4
7277;MA;BALSAS;52861;549;1121;4687;5653;14296;10857;10145;3589;1508;456;27383;25478;0
7285;MA;BOM LUGAR;10830;242;247;781;982;2550;2042;2052;935;494;505;5234;5595;1
