cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
40002;MG;ALFREDO VASCONCELOS;5441;45;57;294;466;1073;1099;1406;546;299;156;2704;2733;4
40010;MG;ABADIA DOS DOURADOS;5844;67;84;294;388;1010;1073;1559;785;442;142;2846;2997;1
40029;MG;ARAPORÃ;5691;74;82;373;508;1296;1225;1290;524;243;76;2864;2827;0
40037;MG;ABAETÉ;18486;42;138;860;1357;3522;3300;5032;2217;1255;763;9511;8964;11
40045;MG;BRASILÂNDIA DE MINAS;11513;112;223;817;1227;2661;2286;2485;931;478;293;5604;5898;11
40053;MG;ABRE CAMPO;10125;92;149;551;761;1995;1901;2528;1186;656;306;5173;4952;0
40061;MG;CAPITÃO ANDRADE;4239;69;62;240;374;849;761;1008;465;284;127;2177;2058;4
40070;MG;ACAIACA;3647;25;42;186;273;721;700;886;380;256;178;1830;1797;20
40088;MG;CARNEIRINHO;7760;52;81;379;584;1592;1538;1970;894;468;202;3728;4032;0
40096;MG;AÇUCENA;8883;54;109;533;740;1744;1567;1897;932;662;645;4337;4542;4
40100;MG;CATUJI;7852;129;190;564;837;1946;1486;1513;656;375;156;3958;3889;5
40118;MG;ÁGUA BOA;12397;231;266;855;1148;2492;2176;2665;1161;773;630;6106;6265;26
40126;MG;DIVISA ALEGRE;5048;47;74;340;506;1225;1007;1026;427;253;143;2570;2477;1
40134;MG;ÁGUA COMPRIDA;2506;28;31;121;211;455;476;633;315;162;74;1194;1311;1
40142;MG;DIVISÓPOLIS;6415;68;114;376;612;1424;1207;1455;625;354;180;3152;3258;5
40150;MG;AGUANIL;4081;44;60;222;333;795;736;1041;505;235;110;1958;2119;4
40169;MG;DURANDÉ;6581;114;143;434;600;1428;1213;1442;580;333;294;3222;3358;1
40177;MG;ÁGUAS FORMOSAS;14949;132;191;861;1351;3199;2730;3188;1501;1110;686;7574;7352;23
40185;MG;ENTRE FOLHAS;5870;77;103;346;460;1243;1103;1395;630;345;168;2896;2958;16
40193;MG;ÁGUAS VERMELHAS;10489;148;167;638;990;2423;1827;2221;1053;612;409;5205;5268;16
40207;MG;FERVEDOURO;8644;99;142;514;724;1877;1727;1959;849;440;312;4150;4487;7
40215;MG;AIMORÉS;19519;153;267;1040;1485;3703;3619;4879;2333;1389;651;10178;9325;16
40223;MG;FRANCISCÓPOLIS;5250;98;108;307;454;1107;947;1060;502;341;325;2540;2704;6
40231;MG;AIURUOCA;5203;20;39;223;367;952;896;1381;652;401;272;2494;2708;1
40240;MG;ICARAÍ DE MINAS;7901;153;173;618;869;1973;1435;1492;646;376;166;3839;4061;1
40258;MG;ALAGOA;2550;40;42;147;181;496;400;689;310;155;90;1197;1343;10
40266;MG;IPABA;14297;181;272;1002;1419;3146;2890;3076;1206;679;425;7206;7074;17
40274;MG;ALBERTINA;2730;31;53;151;239;540;537;640;302;167;70;1326;1403;1
40282;MG;JAÍBA;23463;132;272;1331;2531;6267;4691;4749;1990;984;512;11667;11777;19
40290;MG;ALÉM PARAÍBA;28302;118;253;1415;2028;5127;5135;7507;3353;1824;1542;14845;13397;60
40304;MG;JAMPRUCA;4173;68;88;287;401;835;730;982;397;264;121;2048;2122;3
40312;MG;ALFENAS;58576;148;405;2945;4710;12549;11386;14491;6570;3369;2000;30510;28021;45
40320;MG;JUATUBA;20343;188;292;1347;1870;4617;4194;4707;1861;885;382;10351;9983;9
40339;MG;ALMENARA;29369;109;239;1345;2275;6542;5655;6861;3020;1932;1391;15129;14225;15
40347;MG;LAGOA GRANDE;7191;89;109;422;570;1515;1485;1763;665;383;190;3428;3759;4
40355;MG;ALPERCATA;6632;76;119;384;569;1367;1270;1579;646;423;199;3273;3346;13
40363;MG;LIMEIRA DO OESTE;5664;44;68;334;518;1233;1121;1470;485;295;96;2721;2943;0
40371;MG;ALPINÓPOLIS;15264;71;173;874;1323;3163;2797;3902;1661;844;456;7465;7792;7
40380;MG;LONTRA;7981;132;160;516;749;1860;1380;1564;785;481;354;3833;4137;11
40398;MG;ALTEROSA;11951;126;168;618;890;2386;2264;2994;1290;813;402;5907;6038;6
40401;MG;MAMONAS;5758;87;80;340;473;1012;1026;1472;659;447;162;2845;2906;7
40410;MG;ALTO RIO DOCE;10357;79;109;529;904;2042;1791;2563;1222;731;387;5140;5195;22
40428;MG;MATA VERDE;6232;111;116;431;642;1324;1202;1381;571;339;115;3042;3190;0
40436;MG;ALVARENGA;4430;65;77;262;383;923;789;1029;493;271;138;2095;2331;4
40444;MG;MATIAS CARDOSO;6739;94;124;517;717;1695;1207;1353;583;291;158;3287;3438;14
40452;MG;ALVINÓPOLIS;13346;68;121;677;1070;2620;2487;3238;1490;901;673;6792;6537;17
40460;MG;MONTEZUMA;5615;134;131;421;548;1220;997;1215;511;290;147;2801;2814;0
40479;MG;ALVORADA DE MINAS;4267;89;92;298;431;1010;839;812;353;182;161;2100;2166;1
40487;MG;NAQUE;5501;75;94;362;547;1246;1004;1172;521;283;196;2767;2731;3
40495;MG;AMPARO DO SERRA;4731;35;67;250;395;956;880;1151;532;334;130;2393;2334;4
40509;MG;NOVO ORIENTE DE MINAS;9071;82;118;532;768;1766;1595;1779;997;805;629;4409;4660;2
40517;MG;ANDRADAS;29128;55;195;1442;2211;5797;5693;7444;3396;1825;1070;14869;14234;25
40525;MG;PALMÓPOLIS;6461;82;95;320;546;1345;1050;1387;721;492;423;3161;3294;6
40533;MG;CACHOEIRA DE PAJEÚ;7091;143;161;487;682;1530;1235;1535;679;410;229;3507;3576;8
40541;MG;PEDRAS DE MARIA DA CRUZ;8022;90;124;518;865;2036;1346;1640;735;407;261;3952;4064;6
40550;MG;ANDRELÂNDIA;9764;26;86;485;684;1752;1908;2573;1226;687;337;4963;4796;5
40568;MG;PERIQUITO;6582;105;135;438;609;1356;1287;1348;590;369;343;3378;3202;2
40576;MG;ANTÔNIO CARLOS;9578;39;76;502;750;1823;1884;2517;1058;581;348;4788;4773;17
40584;MG;PONTO DOS VOLANTES;8794;129;187;627;772;1900;1559;1755;815;654;395;4385;4404;5
40592;MG;ANTÔNIO DIAS;9102;95;129;524;732;1965;1809;2089;835;547;377;4403;4693;6
40606;MG;RIACHINHO;5469;59;92;363;470;1183;990;1235;558;323;196;2595;2863;11
40614;MG;ANTÔNIO PRADO DE MINAS;1941;17;27;84;140;351;312;520;230;179;81;967;974;0
40622;MG;ROSÁRIO DA LIMEIRA;5075;49;72;260;459;1146;1029;1154;527;253;126;2418;2644;13
40630;MG;ARAÇAÍ;2807;43;43;156;192;585;514;706;312;171;85;1412;1394;1
40649;MG;SANTA BÁRBARA DO LESTE;7155;68;90;400;555;1612;1427;1685;662;390;266;3519;3629;7
40657;MG;ARACITABA;2406;38;40;115;188;450;383;647;322;142;81;1168;1236;2
40665;MG;SANTA RITA DE MINAS;6011;76;86;339;560;1321;1232;1375;564;311;147;3008;2995;8
40673;MG;ARAÇUAÍ;28354;201;301;1603;2563;6399;5255;6141;2623;1797;1470;14689;13622;43
40681;MG;SANTANA DO PARAÍSO;20334;195;331;1547;1876;4406;4424;4501;1806;788;459;10275;10048;11
40690;MG;ARAGUARI;87433;249;610;4204;6480;17881;16968;22882;9661;5404;3094;45341;41956;136
40703;MG;SÃO JOÃO DA LAGOA;4795;70;85;268;444;1062;924;1115;454;212;161;2276;2516;3
40711;MG;ARANTINA;2547;23;48;150;179;410;457;743;307;155;75;1281;1266;0
40720;MG;SÃO JOÃO DO MANHUAÇU;8711;177;185;580;730;1985;1706;1974;726;376;270;4320;4386;5
40738;MG;ARAPONGA;6803;72;122;423;574;1560;1372;1398;604;355;322;3292;3502;9
40746;MG;SÃO JOÃO DO MANTENINHA;5217;43;68;267;408;1072;997;1285;557;376;143;2634;2580;3
40754;MG;ARAPUÁ;3201;43;54;165;249;527;605;849;401;225;83;1563;1638;0
40762;MG;SÃO JOÃO DO PACUÍ;3877;43;70;237;383;922;703;791;409;223;96;1854;2022;1
40770;MG;ARAÚJOS;6507;64;95;341;503;1366;1290;1596;638;373;240;3219;3282;6
40789;MG;SÃO JOSÉ DA LAPA;17272;99;187;1074;1523;3824;3740;4188;1604;711;322;8865;8400;7
40797;MG;ARAXÁ;75628;179;383;3730;6237;16365;14780;19361;8356;4043;2191;39434;36177;17
40800;MG;SARZEDO;19924;93;245;1407;1908;4580;4443;4752;1573;630;293;10300;9619;5
40819;MG;ARCEBURGO;7345;45;82;385;562;1573;1356;1828;850;462;202;3600;3743;2
40827;MG;SEM PEIXE;3582;37;40;159;249;709;640;875;406;311;156;1793;1783;6
40835;MG;ARCOS;30924;111;205;1535;2269;6493;6144;8192;3404;1727;842;15816;15065;43
