cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
89788;MT;COLNIZA;17355;83;176;1091;1820;4356;4000;3942;1316;471;99;8115;9240;0
89796;MT;COLÍDER;23467;94;235;1288;2194;5058;4684;5880;2077;1201;756;11762;11699;6
89800;MT;CURVELÂNDIA;4059;44;60;192;332;907;803;1021;381;215;104;1977;2081;1
89818;MT;NOVA BRASILÂNDIA;3206;37;72;193;243;606;652;801;373;181;48;1522;1684;0
89826;MT;NOVA SANTA HELENA;3459;51;63;221;322;743;644;834;310;174;97;1576;1883;0
89834;MT;PARANATINGA;14460;149;210;880;1395;3322;3130;3260;1223;657;232;6836;7621;3
89843;MT;SANTO ANTÔNIO DO LESTE;2425;21;39;143;229;546;578;580;177;67;45;1139;1284;2
89850;MT;SINOP;88087;262;607;5549;9005;22012;19730;21022;6215;2609;1073;45442;42638;7
89877;MT;ALTA FLORESTA;38279;133;382;2356;3670;8500;7719;9870;3349;1595;704;19091;19183;5
89893;MT;ARAPUTANGA;11997;63;138;723;1074;2898;2579;2788;992;523;219;6102;5892;3
89915;MT;JAURU;8257;77;113;505;700;1765;1552;1768;813;562;402;4153;4101;3
89931;MT;SÃO JOSÉ DOS QUATRO MARCOS;14388;74;134;696;1119;2880;2822;3676;1516;892;579;7265;7118;5
89958;MT;RIO BRANCO;4213;60;65;241;345;960;851;932;393;259;107;2123;2089;1
89960;MT;RONDOLÂNDIA;2603;28;36;158;258;667;492;546;206;128;83;1210;1392;1
89974;MT;SALTO DO CÉU;2984;32;52;193;287;593;570;694;291;185;87;1471;1513;0
89990;MT;PONTES E LACERDA;27621;119;222;1633;2559;6593;5908;6926;2331;1031;299;14228;13393;0
90018;MT;ACORIZAL;6036;80;97;353;529;1447;1213;1305;634;302;76;2851;3185;0
90026;MT;SÃO JOSÉ DO POVO;2958;24;33;138;212;509;559;746;411;217;109;1347;1607;4
90042;MT;ALTO BOA VISTA;3441;39;66;230;293;716;717;776;335;178;91;1535;1906;0
90050;MT;ALTO ARAGUAIA;12523;83;156;685;1105;2831;2614;3031;1167;612;239;6339;6183;1
90069;MT;QUERÊNCIA;11321;83;170;730;1099;3096;2516;2511;773;257;86;5262;6059;0
90077;MT;ALTO GARÇAS;7352;46;108;393;609;1573;1602;1717;727;391;185;3539;3809;4
