cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
4006;PA;GOIANÉSIA DO PARÁ;23632;409;537;1735;2322;6004;4887;4555;1848;861;471;11141;12487;4
4014;PA;ABAETETUBA;104665;622;1531;8022;12166;27408;21410;19281;7691;4063;2468;52836;51797;32
4022;PA;TAILÂNDIA;46402;574;987;4158;5587;12384;9795;8077;2771;1276;789;22260;24134;8
4030;PA;ACARÁ;43484;488;793;3344;4816;10672;8046;8310;3297;2114;1601;20909;22560;15
4049;PA;BOM JESUS DO TOCANTINS;11253;206;251;875;1080;2469;2067;2207;1001;544;553;5212;6040;1
4057;PA;AFUÁ;22907;345;597;2504;2970;6004;4418;3725;1423;679;241;11006;11901;0
4065;PA;SÃO JOÃO DE PIRABAS;16143;188;357;1291;1673;3932;3006;3162;1482;793;259;8138;8005;0
4073;PA;ALENQUER;37004;542;869;3260;4155;8637;7061;6807;3012;1794;865;18055;18930;19
4081;PA;TUCUMÃ;26377;367;483;1993;2938;6769;5379;5360;1901;928;258;12642;13734;1
4090;PA;ALMEIRIM;22204;401;581;1789;2518;5487;4333;4379;1561;752;400;10649;11551;4
4103;PA;MÃE DO RIO;24882;400;565;1986;2589;6104;4841;4531;1823;1169;872;12508;12348;26
4111;PA;ALTAMIRA;71948;437;908;4991;7613;18206;15210;15049;5094;2534;1900;35663;36281;4
4120;PA;ELDORADO DOS CARAJÁS;19950;329;461;1651;2025;4787;3681;4033;1680;877;424;9387;10563;0
4138;PA;ANAJÁS;18502;353;520;1847;2343;4746;3416;2887;1098;711;577;8598;9893;11
4146;PA;SANTA LUZIA DO PARÁ;16609;296;398;1449;1801;4142;3070;2929;1213;704;606;8057;8545;7
4154;PA;ANANINDEUA;291273;1418;3643;22651;32187;73318;65479;62283;21930;7295;1067;158843;132430;0
4162;PA;PALESTINA DO PARÁ;6363;132;119;469;657;1459;1147;1124;560;347;349;3031;3327;5
4170;PA;AUGUSTO CORRÊA;35705;622;893;3117;4135;8838;6214;6114;2791;1576;1402;17408;18281;16
4189;PA;IPIXUNA DO PARÁ;19755;260;473;1553;2187;4983;3873;3773;1466;768;415;9399;10350;6
4197;PA;AVEIRO;10874;213;275;954;1148;2357;1833;2157;971;548;417;4970;5904;0
4200;PA;JACAREACANGA;9722;74;222;840;1048;2277;1732;2071;811;345;300;4441;5279;2
4219;PA;BAGRE;14043;373;500;1441;1898;3579;2526;2109;795;409;412;6649;7394;0
4227;PA;BRASIL NOVO;13526;169;235;842;1194;3224;2748;2989;1139;612;373;6441;7084;1
4235;PA;BAIÃO;23704;408;557;2086;2667;5983;4508;4180;1692;924;699;11483;12207;14
4243;PA;SANTA BÁRBARA DO PARÁ;16017;182;359;1176;1596;3895;3323;3233;1327;610;315;7895;8120;2
4251;PA;BARCARENA;78512;789;1343;6558;8911;21523;16597;15065;4951;2069;706;39351;39160;1
4260;PA;ÁGUA AZUL DO NORTE;9747;178;188;605;898;2334;1991;2036;820;459;237;4429;5316;2
4278;PA;BELÉM;1043219;3303;9146;59916;90650;227885;221523;244610;94704;51414;40054;558232;484205;782
4286;PA;TRAIRÃO;10873;220;282;917;1110;2694;2107;2034;892;363;253;4988;5883;2
