cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
19003;PB;RIACHÃO DO POÇO;4381;80;94;291;392;1012;932;831;417;248;83;2199;2182;0
19011;PB;ÁGUA BRANCA;7578;156;164;620;781;1724;1365;1455;668;452;193;3870;3708;0
19020;PB;SOBRADO;7287;83;143;452;682;1642;1474;1543;619;426;223;3683;3604;0
19038;PB;AGUIAR;4427;75;89;311;391;886;850;947;472;295;111;2273;2154;0
19046;PB;SÃO JOSÉ DOS RAMOS;5182;113;120;366;538;1294;1026;986;402;232;104;2588;2594;0
19054;PB;ALAGOA GRANDE;24020;255;394;1543;2290;5521;4473;4870;2204;1543;927;12504;11516;0
19062;PB;CAPIM;5529;99;149;483;601;1314;1225;1017;429;173;39;2734;2795;0
19070;PB;ALAGOA NOVA;14336;184;281;951;1259;3188;2687;3033;1388;888;477;7594;6742;0
19089;PB;CUITÉ DE MAMANGUAPE;6582;130;163;600;685;1581;1214;1346;551;248;64;3228;3354;0
19097;PB;ALAGOINHA;11534;177;219;805;1144;2690;2350;2205;938;657;347;5920;5614;0
19100;PB;CURRAL DE CIMA;4592;78;136;333;426;976;949;918;463;235;77;2261;2331;0
19119;PB;ALHANDRA;18009;234;386;1312;1843;4433;3955;3684;1258;692;212;9210;8797;2
19127;PB;RIACHÃO DO BACAMARTE;4615;93;122;303;457;1088;886;906;383;263;114;2331;2284;0
19135;PB;SÃO JOÃO DO RIO DO PEIXE;14685;176;222;812;1148;3088;2781;3157;1604;1065;631;7616;7069;0
19143;PB;MATINHAS;3980;75;123;315;366;918;732;848;333;188;82;2048;1932;0
19151;PB;ARAÇAGI;12664;206;251;868;1101;2570;2414;2886;1317;794;257;6517;6147;0
19160;PB;LOGRADOURO;3228;63;59;253;322;765;635;645;270;164;52;1641;1587;0
19178;PB;ARARA;9706;130;164;641;939;2062;1730;1816;1032;737;454;5147;4559;0
19186;PB;SERTÃOZINHO;4279;83;80;300;388;943;854;816;379;303;131;2209;2069;1
19194;PB;ARARUNA;14098;235;278;1061;1284;3146;2652;2805;1210;887;539;7286;6812;0
19208;PB;RIACHÃO;3371;64;57;235;355;853;657;594;300;170;86;1698;1673;0
19216;PB;AREIA;19585;159;278;1170;1925;4934;3617;3921;1737;1134;710;10135;9450;0
19224;PB;SÃO DOMINGOS DO CARIRI;2659;57;49;200;224;540;486;627;248;154;74;1339;1320;0
19232;PB;AREIAL;5316;82;115;342;483;1239;1041;1145;530;264;75;2835;2481;0
19240;PB;CARAÚBAS;3737;67;81;239;340;787;647;854;362;261;98;1858;1879;0
19259;PB;AROEIRAS;16604;226;329;1183;1603;3861;2733;3361;1597;1017;691;8634;7968;2
19267;PB;SANTO ANDRÉ;2584;36;39;140;203;511;482;584;324;169;95;1322;1262;0
19275;PB;DAMIÃO;4688;102;117;382;470;1163;872;839;376;246;121;2299;2389;0
19283;PB;SOSSÊGO;3109;58;54;229;308;709;592;650;265;157;87;1519;1590;0
19291;PB;BAÍA DA TRAIÇÃO;6716;114;140;525;687;1548;1382;1337;517;290;175;3409;3307;0
19305;PB;BARAÚNA;4372;71;83;327;435;989;795;872;425;260;115;2221;2150;1
19313;PB;BANANEIRAS;15881;209;319;1096;1392;3490;3046;3696;1573;801;259;8270;7611;0
19321;PB;ASSUNÇÃO;3483;63;90;271;331;820;682;645;331;172;78;1770;1713;0
19330;PB;BARRA DE SANTA ROSA;11332;202;188;765;982;2604;2119;2218;1065;760;429;5593;5738;1
19348;PB;ZABELÊ;2002;35;47;145;153;442;379;458;193;112;38;1032;970;0
19356;PB;BARRA DE SÃO MIGUEL;4633;90;91;298;429;1031;817;1103;450;249;75;2274;2359;0
19364;PB;CACIMBAS;5168;137;138;517;539;1166;905;991;412;260;102;2705;2463;0
19372;PB;BAYEUX;66455;475;997;4666;6311;15409;15002;15683;5358;2161;387;35740;30715;0
19380;PB;CAJAZEIRINHAS;3321;62;71;210;293;766;612;793;327;147;40;1642;1679;0
19399;PB;BELÉM;14139;213;243;888;1252;3088;2788;2741;1370;962;594;7331;6803;5
19402;PB;SÃO BENTINHO;3340;58;64;205;289;735;666;716;360;191;55;1724;1616;0
19410;PB;BELÉM DO BREJO DO CRUZ;6032;101;90;370;559;1269;1171;1317;601;396;158;3059;2971;2
19429;PB;SÃO DOMINGOS DE POMBAL;2783;59;55;168;226;588;545;602;312;181;46;1445;1338;0
19437;PB;BOA VENTURA;4917;82;109;355;445;1114;961;973;520;253;105;2507;2410;0
19445;PB;SÃO JOSÉ DE PRINCESA;3596;58;54;213;326;808;698;702;354;259;124;1819;1777;0
19453;PB;BOM JESUS;3205;77;67;219;282;747;627;634;289;190;73;1587;1618;0
19461;PB;MARIZÓPOLIS;5123;66;109;327;426;1158;1048;1155;528;239;67;2617;2506;0
19470;PB;BOM SUCESSO;4423;77;75;260;331;800;760;1054;552;372;142;2311;2112;0
19488;PB;MATO GROSSO;2977;56;62;191;305;736;562;607;246;144;68;1518;1459;0
19496;PB;BONITO DE SANTA FÉ;8180;136;158;540;774;1835;1514;1587;781;509;346;4285;3895;0
19500;PB;BERNARDINO BATISTA;2846;81;61;234;305;690;480;537;260;135;63;1423;1423;0
19518;PB;BOQUEIRÃO;13331;205;291;888;1290;3139;2481;2998;1198;679;162;6863;6468;0
19526;PB;POÇO DE JOSÉ DE MOURA;4074;75;74;242;366;861;727;854;462;290;123;2049;2025;0
19534;PB;IGARACY;5243;114;125;400;470;1083;915;1193;559;309;74;2709;2534;0
19542;PB;SÃO JOSÉ DO BREJO DO CRUZ;1953;38;41;132;161;430;391;412;183;105;59;943;1010;0
19550;PB;BORBOREMA;4151;102;96;349;386;866;800;878;375;231;68;2110;2041;0
19569;PB;SANTA INÊS;3951;54;61;258;414;976;782;803;323;204;76;1909;2042;0
19577;PB;BREJO DO CRUZ;10151;167;192;621;897;2236;1928;2369;941;552;247;5320;4831;0
19585;PB;AMPARO;2193;34;39;144;201;514;449;448;203;125;36;1061;1132;0
19593;PB;BREJO DOS SANTOS;5868;112;113;425;474;1214;1107;1273;610;382;157;3005;2863;0
19607;PB;CASSERENGUE;6215;125;121;439;648;1483;1068;1178;538;398;216;3144;3071;0
19615;PB;CAAPORÃ;17429;321;367;1239;1730;4152;3801;3494;1230;657;438;8868;8558;3
19623;PB;GADO BRAVO;7407;123;163;568;843;1786;1195;1448;730;385;164;3719;3687;1
19631;PB;CABACEIRAS;4215;38;82;276;339;890;777;970;453;288;102;2181;2034;0
19640;PB;POÇO DANTAS;3782;79;73;281;412;956;657;731;292;193;107;1826;1956;0
19658;PB;CABEDELO;44293;271;545;2673;3938;10363;9833;10958;3722;1594;393;23692;20601;0
19666;PB;JOCA CLAUDINO;2825;51;38;181;249;717;501;554;289;163;82;1442;1383;0
19674;PB;CACHOEIRA DOS ÍNDIOS;7605;119;137;512;748;1729;1372;1542;797;482;167;3927;3678;0
19682;PB;TENÓRIO;2514;50;54;179;255;651;482;471;219;114;39;1218;1296;0
19690;PB;CACIMBA DE AREIA;3310;55;62;187;304;797;658;703;312;174;58;1651;1659;0
19704;PB;COXIXOLA;1742;30;28;105;131;366;294;417;180;131;60;879;863;0
19712;PB;CACIMBA DE DENTRO;14228;259;317;1046;1479;3214;2342;2884;1245;946;494;7292;6936;0
19720;PB;PARARI;2048;23;40;125;155;446;379;482;230;100;68;1030;1018;0
19739;PB;CAIÇARA;6009;94;103;426;574;1377;1166;1313;541;324;91;3065;2944;0
19747;PB;PEDRO RÉGIS;4513;70;119;345;428;1016;901;893;403;265;73;2243;2270;0
19755;PB;CAJAZEIRAS;45416;438;666;2657;3913;10082;8983;9380;4543;2820;1931;24269;21145;2
19763;PB;ALCANTIL;4226;60;85;311;434;971;812;992;359;163;39;2175;2051;0
19771;PB;CALDAS BRANDÃO;5361;73;116;369;525;1228;1011;1103;449;339;148;2727;2634;0
19780;PB;BARRA DE SANTANA;6801;100;126;497;618;1419;1257;1548;741;386;109;3409;3392;0
19798;PB;CAMALAÚ;5042;105;106;396;420;1004;916;1087;540;329;139;2535;2507;0
19801;PB;CATURITÉ;4240;77;78;272;402;1002;824;956;400;185;44;2161;2079;0
19810;PB;CAMPINA GRANDE;274006;1077;2554;17101;25787;64771;56316;64470;25845;12441;3631;149597;124409;0
19828;PB;RIACHO DE SANTO ANTÔNIO;2073;48;40;156;218;523;395;418;157;87;30;1011;1062;0
