cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
23000;PE;QUIXABA;5442;127;128;442;489;1200;1016;1126;579;253;82;2774;2668;0
23019;PE;AFOGADOS DA INGAZEIRA;26726;305;401;1890;2398;5855;5257;5863;2717;1475;562;14344;12382;0
23027;PE;LAGOA DO CARRO;14049;221;293;828;1240;3134;3076;3015;1201;627;414;7305;6737;7
23035;PE;AFRÂNIO;15776;292;337;1176;1445;3592;3236;3170;1337;810;381;8041;7729;6
23043;PE;SANTA CRUZ DA BAIXA VERDE;9902;172;167;695;834;2339;1891;1991;999;599;214;5110;4783;9
23051;PE;AGRESTINA;20502;309;441;1422;1955;4765;3915;4049;1746;1229;669;10872;9620;10
23060;PE;XEXÉU;12047;159;247;909;1157;2737;2280;2524;899;651;482;6142;5904;1
23078;PE;ÁGUA PRETA;23277;374;506;1674;2153;5481;4584;4656;1855;1194;798;11701;11568;8
23086;PE;VERTENTE DO LÉRIO;8121;115;143;512;766;2021;1473;1573;818;449;250;4195;3917;9
23094;PE;ÁGUAS BELAS;30896;432;665;2440;3211;7206;5607;5893;2968;1853;619;16160;14713;23
23108;PE;SANTA CRUZ;10992;202;207;875;1037;2499;2102;2207;995;633;234;5481;5501;10
23116;PE;ALAGOINHA;12006;220;237;816;1030;2565;2257;2549;1077;804;449;6066;5936;4
23124;PE;JUCATI;8670;204;263;690;795;2060;1712;1645;809;398;93;4472;4198;0
23132;PE;ALIANÇA;26491;266;514;1861;2603;6198;5477;5860;2489;1020;201;13836;12655;0
23140;PE;DORMENTES;15287;310;287;1096;1344;3536;3091;3132;1268;737;485;7427;7848;12
23159;PE;ALTINHO;15583;193;315;1051;1329;3425;3027;3507;1582;948;204;8028;7555;0
23167;PE;CARNAUBEIRA DA PENHA;11026;264;275;903;1211;2703;1970;1827;880;525;468;5408;5617;1
23175;PE;AMARAJI;15505;144;236;1107;1520;3898;3307;3345;1237;563;147;7990;7515;0
23183;PE;LAGOA GRANDE;18647;333;411;1388;1717;4575;3629;3831;1303;816;642;9257;9381;9
23191;PE;ANGELIM;8659;104;166;577;780;1961;1697;1638;815;583;337;4509;4146;4
23205;PE;ARAÇOIABA;14546;231;352;1093;1531;3642;3055;3079;1058;409;94;7394;7152;0
23213;PE;ARARIPINA;53291;840;1100;4718;5023;12667;10406;11145;4378;2453;554;28477;24814;0
23221;PE;CASINHAS;12908;210;208;793;1189;2983;2353;2555;1228;722;666;6702;6197;9
23230;PE;ARCOVERDE;44218;341;655;2897;4065;10117;9045;10105;4151;2278;563;24351;19867;0
23248;PE;MANARI;12448;326;349;1107;1379;2984;2037;2090;973;699;504;6374;6060;14
23256;PE;BARRA DE GUABIRABA;10540;229;199;711;1015;2352;2095;2068;789;555;526;5228;5296;16
23264;PE;JATOBÁ;9503;180;209;673;773;2113;1952;2088;941;455;118;5074;4429;0
23272;PE;BARREIROS;29528;337;515;2114;2927;7038;6267;6383;2424;1208;314;15837;13691;0
23280;PE;TAMANDARÉ;15930;173;293;1084;1698;4067;3385;3284;1238;567;140;8208;7722;0
23299;PE;BELÉM DE MARIA;9260;194;219;676;876;2181;1716;1791;817;549;240;4670;4581;9
23302;PE;JAQUEIRA;9908;188;259;769;1011;2514;1870;1876;694;455;270;4960;4946;2
23310;PE;BELÉM DE SÃO FRANCISCO;15439;249;340;1148;1533;3591;2914;3170;1318;768;406;8194;7230;15
23329;PE;SANTA FILOMENA;11204;285;219;855;1025;2477;2149;2110;938;705;441;5483;5710;11
23337;PE;BELO JARDIM;60062;805;1105;4142;5703;13573;11474;12433;5126;3329;2365;31528;28479;55
23353;PE;BETÂNIA;10122;152;199;715;870;2288;1961;1909;1011;673;342;5245;4876;1
23370;PE;BEZERROS;41946;318;646;2614;3537;8853;8622;9480;4643;2433;797;23190;18756;0
23396;PE;BODOCÓ;26593;593;627;2199;2532;6372;4814;5113;2295;1328;719;13477;13105;11
23418;PE;BOM CONSELHO;35457;444;680;2558;3144;7624;6533;6798;3487;2408;1779;18951;16488;18
23434;PE;BOM JARDIM;26752;453;684;1973;2571;5909;5428;5990;2633;939;171;14059;12693;0
23450;PE;BONITO;27285;336;563;2047;2643;6168;5309;6032;2725;1183;277;14479;12806;0
23477;PE;BREJÃO;8592;161;240;716;811;1932;1733;1710;834;378;77;4432;4160;0
23493;PE;BREJINHO;7087;129;113;462;624;1710;1238;1493;639;455;224;3625;3459;3
23515;PE;BREJO DA MADRE DE DEUS;31576;422;599;2004;3058;7373;6108;6273;2701;1721;1316;16482;15066;28
23531;PE;BUENOS AIRES;11399;176;227;706;961;2840;2379;2329;1056;545;179;5769;5626;4
23558;PE;BUÍQUE;38492;530;814;2958;3806;8722;7052;7401;3380;2315;1509;20049;18397;46
23574;PE;CABO DE SANTO AGOSTINHO;162229;1122;2186;10561;14950;37987;35695;35814;13453;6469;3986;84206;77870;153
23590;PE;CABROBÓ;24451;422;489;1670;2269;5635;4879;5042;1912;1176;955;12740;11690;21
23612;PE;CACHOEIRINHA;14826;210;272;1023;1363;3367;2812;3284;1354;874;267;7902;6924;0
23639;PE;CAETÉS;19715;304;424;1488;1983;4806;3421;3559;1768;1206;756;10382;9327;6
23655;PE;CALÇADO;8808;151;162;625;850;2032;1651;1721;800;472;344;4392;4409;7
23671;PE;CALUMBI;6602;113;148;442;615;1598;1234;1270;603;415;163;3391;3206;5
23698;PE;CAMOCIM DE SÃO FÉLIX;13419;247;336;973;1297;3094;2629;2929;1216;552;146;7115;6304;0
23710;PE;CAMUTANGA;7038;138;155;570;661;1506;1423;1538;627;341;78;3562;3476;0
23736;PE;CANHOTINHO;15900;245;312;1273;1492;3437;3042;3350;1629;862;257;8378;7522;0
23752;PE;CAPOEIRAS;16133;215;308;1032;1492;3683;2946;3190;1497;1061;707;8233;7892;8
23779;PE;CARNAÍBA;14170;234;262;1062;1330;2945;2768;3132;1435;753;248;7339;6831;0
23795;PE;CARPINA;56290;443;754;3290;4679;12117;12060;13144;5334;2690;1778;30158;26073;59
23817;PE;CARUARU;209898;844;1895;11222;20040;51101;45332;49081;18353;9549;2474;116112;93786;0
23833;PE;CATENDE;24085;261;464;1771;2406;5835;4722;5300;2107;967;251;12737;11348;0
23850;PE;CEDRO;9720;203;200;769;949;2252;1695;1916;755;540;440;4967;4745;8
23876;PE;CHÃ DE ALEGRIA;10965;154;246;723;1079;2804;2233;2097;968;496;162;5685;5269;11
23892;PE;CHÃ GRANDE;17923;227;260;1082;1580;4161;3810;3576;1682;1038;505;9186;8727;10
23914;PE;CONDADO;19912;227;363;1368;1809;4368;4074;4287;1740;1024;651;10375;9507;30
23930;PE;CORRENTES;13499;203;259;850;1217;2964;2414;2488;1355;841;908;7036;6455;8
23957;PE;CORTÊS;11211;190;247;809;1145;2894;2227;2221;862;428;187;5667;5535;9
23973;PE;CUMARU;15200;210;232;798;1112;3378;3044;3172;1541;983;729;7740;7415;45
23990;PE;CUPIRA;18502;206;351;1249;1877;4110;3563;3753;1899;1082;411;10069;8433;0
24015;PE;CUSTÓDIA;25770;328;458;1788;2302;5753;4766;5604;2616;1471;684;13527;12243;0
24031;PE;ESCADA;44367;275;530;3026;4560;11099;9657;10168;3475;1362;212;23217;21150;0
24058;PE;EXU;29526;456;593;2093;2701;6743;5405;5964;2508;1701;1353;15225;14282;19
24074;PE;FEIRA NOVA;17508;336;356;1209;1551;3965;3488;3556;1754;889;404;9329;8159;20
24090;PE;FERREIROS;9014;136;186;626;816;2069;1855;1902;892;438;92;4611;4403;0
24112;PE;FLORES;16915;280;278;1102;1508;3656;3002;3710;1727;1146;503;8762;8140;13
24139;PE;FLORESTA;23084;322;424;1722;2366;5260;4342;4447;1859;1276;1066;12034;11042;8
24155;PE;FREI MIGUELINHO;12546;227;213;741;1021;2667;2321;2579;1453;939;385;6527;6004;15
24171;PE;GAMELEIRA;17717;277;367;1215;1741;4126;3472;3521;1411;936;650;8912;8800;5
24198;PE;GARANHUNS;85556;522;1139;5763;8044;20339;17965;18861;8225;3828;868;47161;38395;0
24210;PE;GLÓRIA DO GOITÁ;20174;219;434;1444;2017;4859;4116;4232;1859;811;182;10717;9457;0
24236;PE;GOIANA;56291;604;915;3611;5259;13147;12369;13152;4903;1960;367;29538;26753;0
24252;PE;GRANITO;6477;147;142;535;620;1539;1226;1231;482;356;199;3187;3287;3
24279;PE;GRAVATÁ;62804;360;673;3465;5540;14010;12759;13829;5907;3601;2653;33241;29509;54
24295;PE;IATI;15701;295;346;1113;1469;3547;2875;2911;1474;975;693;8006;7665;30
24317;PE;IBIMIRIM;19872;299;390;1575;2187;4872;3384;3908;1816;970;468;10263;9600;9
24333;PE;IBIRAJUBA;6433;91;141;430;557;1343;1169;1326;666;489;220;3306;3127;0
24350;PE;IGARASSU;75073;523;1031;5015;7064;17147;16483;18092;6390;2657;667;39964;35109;0
24376;PE;IGUARACI;8234;113;153;576;620;1706;1530;2028;949;445;114;4176;4058;0
24392;PE;INAJÁ;13014;296;323;1091;1449;3198;2279;2354;943;600;481;6653;6342;19
24414;PE;INGAZEIRA;3714;63;86;264;340;793;673;880;379;185;51;1858;1856;0
24430;PE;IPOJUCA;66469;653;1224;5091;7065;17685;14945;13973;4232;1369;230;34255;32214;0
