cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
10006;PI;BRASILEIRA;6494;160;154;484;538;1514;1250;1394;625;290;84;3200;3294;0
10014;PI;AGRICOLÂNDIA;5306;79;111;362;509;1153;960;1071;540;334;186;2731;2573;2
10022;PI;ALEGRETE DO PIAUÍ;4543;85;100;312;436;1045;768;1043;348;285;120;2284;2253;6
10030;PI;ÁGUA BRANCA;14925;290;368;1011;1292;3235;2869;2939;1328;897;693;7904;7017;4
10049;PI;BAIXA GRANDE DO RIBEIRO;8984;244;269;775;1018;2371;1534;1632;570;285;285;4195;4788;1
10057;PI;ALTO LONGÁ;10826;236;217;747;861;2353;2089;2542;1182;453;145;5415;5411;0
10065;PI;BOM PRINCÍPIO DO PIAUÍ;5406;153;138;432;458;1224;1105;1137;467;235;56;2624;2782;0
10073;PI;ALTOS;28721;273;548;2190;2592;7101;5677;6431;2796;965;148;14953;13768;0
10081;PI;BONFIM DO PIAUÍ;4527;104;97;304;430;1040;916;916;433;224;63;2201;2326;0
10090;PI;AMARANTE;13548;220;292;901;1081;2800;2441;3006;1453;887;467;7105;6443;0
10103;PI;BURITI DOS MONTES;5453;131;141;460;491;1090;1039;1210;467;302;122;2679;2774;0
10111;PI;ANGICAL DO PIAUÍ;6922;73;114;495;610;1334;1108;1670;762;473;283;3621;3300;1
10120;PI;CABECEIRAS DO PIAUÍ;8263;184;168;594;788;1937;1636;1772;792;322;70;4146;4117;0
10138;PI;ANÍSIO DE ABREU;6052;121;165;451;505;1350;1277;1237;500;340;106;3043;3009;0
10146;PI;CALDEIRÃO GRANDE DO PIAUÍ;4906;125;115;410;439;1003;954;948;405;289;218;2375;2529;2
10154;PI;ANTÔNIO ALMEIDA;2734;48;53;195;236;608;479;595;303;140;76;1336;1398;0
10162;PI;CANAVIEIRA;3552;73;72;258;303;786;642;677;342;228;171;1659;1890;3
10170;PI;AROAZES;5774;98;108;381;489;1225;1089;1225;634;332;192;2880;2891;3
10189;PI;COIVARAS;4384;87;113;308;372;996;910;1000;395;165;38;2120;2264;0
10197;PI;ARRAIAL;4237;93;96;310;456;923;701;847;371;266;174;2119;2116;2
10200;PI;COLÔNIA DO GURGUÉIA;5415;126;126;367;498;1255;1018;1035;446;324;220;2703;2710;2
10219;PI;AVELINO LOPES;9118;147;183;675;816;1976;1705;1940;845;542;289;4563;4547;8
10227;PI;COLÔNIA DO PIAUÍ;5518;148;162;434;443;1144;1053;1219;559;272;84;2866;2652;0
10235;PI;BARRAS;32288;508;720;2572;3177;8039;6301;6575;2992;1172;231;16368;15920;0
10243;PI;CORONEL JOSÉ DIAS;4251;83;97;302;356;869;894;952;409;236;52;2025;2226;0
10251;PI;BARREIRAS DO PIAUÍ;3329;84;77;261;337;779;616;622;249;179;125;1533;1794;2
10260;PI;FARTURA DO PIAUÍ;3704;56;67;255;388;733;655;873;360;220;96;1831;1873;0
10278;PI;BARRO DURO;6194;101;108;414;507;1334;1170;1283;600;385;292;3255;2933;6
10286;PI;JACOBINA DO PIAUÍ;4856;98;93;299;459;1106;945;1074;441;216;125;2405;2446;5
10294;PI;BATALHA;19662;331;457;1550;1745;4398;3664;4096;1872;1086;462;10049;9613;0
10308;PI;JARDIM DO MULATO;4096;67;88;267;374;891;765;903;354;248;139;2066;2029;1
10316;PI;BENEDITINOS;9199;135;167;580;732;2052;1708;1899;1006;602;318;4649;4543;7
10324;PI;LAGOA ALEGRE;6691;116;164;542;650;1592;1351;1381;586;266;43;3319;3372;0
10332;PI;BERTOLÍNIA;4690;98;109;360;427;1057;827;910;414;309;179;2317;2368;5
10340;PI;LAGOA DO BARRO DO PIAUÍ;4152;86;88;289;432;984;783;742;347;251;150;1995;2154;3
10359;PI;BOCAINA;5528;91;73;329;407;1124;1006;1276;594;407;221;2799;2725;4
10367;PI;MARCOLÂNDIA;6841;142;189;576;712;1643;1301;1381;448;303;146;3384;3457;0
10375;PI;BOM JESUS;15265;227;340;1185;1454;4038;3190;2858;1189;582;200;7900;7365;0
10383;PI;PATOS DO PIAUÍ;5697;123;124;353;459;1224;1024;1243;562;358;227;2819;2877;1
10391;PI;BURITI DOS LOPES;14380;240;357;1138;1340;3512;2769;2924;1365;594;141;7335;7045;0
10405;PI;PASSAGEM FRANCA DO PIAUÍ;4152;97;99;313;416;954;750;805;400;185;132;2135;2016;1
10413;PI;CAMPINAS DO PIAUÍ;4624;95;113;322;342;975;854;1091;513;245;74;2339;2285;0
10421;PI;QUEIMADA NOVA;6998;142;149;492;645;1535;1338;1474;589;401;232;3409;3586;3
10430;PI;CAMPO MAIOR;31790;211;486;2011;2559;7014;6510;7576;3525;1565;333;16891;14899;0
10448;PI;SANTA CRUZ DOS MILAGRES;3761;80;74;248;342;846;758;702;345;213;153;1893;1867;1
10456;PI;CANTO DO BURITI;13808;252;320;1051;1071;2847;2656;3132;1445;779;253;6925;6883;0
10464;PI;SANTA ROSA DO PIAUÍ;3954;100;107;284;304;733;798;908;434;237;49;2028;1926;0
10472;PI;CAPITÃO DE CAMPOS;9841;182;213;647;880;2301;1829;1935;935;581;335;4922;4909;10
10480;PI;SANTANA DO PIAUÍ;3469;47;66;240;262;715;671;878;352;201;36;1788;1681;0
10499;PI;CARACOL;8062;163;186;617;844;1949;1543;1493;657;384;226;3953;4103;6
10502;PI;SÃO BRAZ DO PIAUÍ;3465;63;66;245;322;726;676;789;307;211;60;1678;1787;0
10510;PI;CASTELO DO PIAUÍ;14214;151;336;1073;1175;2931;2586;3098;1594;881;389;7446;6768;0
10529;PI;SÃO JOSÉ DO DIVINO;4350;96;109;321;439;1028;854;1006;323;149;25;2123;2227;0
