cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
74004;PR;GODOY MOREIRA;2945;36;36;136;234;505;479;806;393;222;97;1455;1488;2
74012;PR;ABATIÁ;6078;63;89;362;542;1150;1055;1647;716;354;100;3020;3048;10
74020;PR;IBEMA;5264;83;102;387;523;1019;987;1268;466;321;108;2635;2613;16
74039;PR;ADRIANÓPOLIS;4931;94;144;333;424;904;841;1155;577;325;134;2365;2566;0
74047;PR;LINDOESTE;4341;63;95;278;380;799;787;1113;538;242;46;2157;2184;0
74055;PR;AGUDOS DO SUL;6692;93;129;497;600;1291;1211;1761;752;306;52;3298;3394;0
74063;PR;OURO VERDE DO OESTE;4454;32;58;303;390;893;869;1135;473;244;56;2270;2184;0
74071;PR;ALMIRANTE TAMANDARÉ;61531;199;622;4769;6132;13995;12840;15570;5551;1603;250;32703;28828;0
74080;PR;SANTA TEREZA DO OESTE;8359;67;186;593;819;1872;1697;1992;724;339;70;4259;4100;0
74098;PR;ALTO PARANÁ;10325;55;99;563;944;2087;1937;2573;1102;660;305;5319;4999;7
74101;PR;ANAHY;2674;31;61;162;225;500;508;635;316;170;66;1300;1366;8
74110;PR;ALTO PIQUIRI;7459;54;101;435;680;1505;1285;1935;786;490;188;3816;3636;7
74128;PR;ÂNGULO;2747;24;46;146;209;606;481;695;270;159;111;1376;1370;1
74136;PR;ALVORADA DO SUL;7321;73;94;408;606;1352;1238;1924;950;494;182;3747;3573;1
74144;PR;BOA ESPERANÇA DO IGUAÇU;2441;46;47;155;190;483;474;602;267;108;69;1196;1241;4
74152;PR;AMAPORÃ;4095;43;43;239;387;943;756;1071;358;162;93;2098;1996;1
74160;PR;BOM SUCESSO DO SUL;2959;24;44;161;257;596;491;790;347;198;51;1484;1475;0
74179;PR;AMPÉRE;13603;128;175;832;1226;2887;2553;3396;1341;784;281;7025;6574;4
74187;PR;BRASILÂNDIA DO SUL;3058;41;55;176;271;592;545;776;330;203;69;1525;1533;0
74195;PR;ANDIRÁ;17673;110;187;867;1252;3420;3323;4464;2148;1173;728;9224;8434;15
74209;PR;CAFEZAL DO SUL;4042;72;75;236;325;764;734;1000;466;256;114;1981;2056;5
74217;PR;ANTONINA;16585;108;203;980;1365;3210;2980;4139;1804;1107;689;8298;8271;16
74225;PR;CANDÓI;10870;88;242;796;1041;2164;2135;2751;1079;472;102;5454;5416;0
74233;PR;ANTONIO OLINTO;6690;60;113;395;600;1315;1169;1677;798;394;169;3129;3554;7
74241;PR;CRUZEIRO DO IGUAÇU;3665;39;62;223;347;768;622;941;381;199;83;1838;1821;6
74250;PR;APUCARANA;86846;310;826;4893;7019;17547;16505;22996;10220;4948;1581;46808;40038;0
74268;PR;DIAMANTE DO SUL;2803;38;74;224;251;520;554;667;280;132;63;1354;1449;0
74276;PR;ARAPONGAS;82043;194;488;4182;6420;17016;16538;21092;8592;4707;2814;42743;39259;41
74284;PR;ENTRE RIOS DO OESTE;3428;28;54;180;290;687;638;894;378;228;51;1727;1701;0
74292;PR;ARAPOTI;18891;85;172;1172;1833;4135;3864;4733;1734;844;317;9593;9284;14
74306;PR;FAROL;2654;36;39;179;217;497;527;701;285;134;39;1345;1309;0
74314;PR;ARARUNA;10808;48;89;569;924;2041;2056;2836;1178;626;441;5373;5366;69
74322;PR;FAZENDA RIO GRANDE;60521;369;892;5128;5905;14736;13046;14509;4513;1205;218;31878;28643;0
74330;PR;MARILÂNDIA DO SUL;7223;57;105;424;577;1471;1311;1862;776;427;213;3579;3637;7
74349;PR;FLOR DA SERRA DO SUL;4784;75;87;294;448;950;833;1235;467;278;117;2331;2452;1
74357;PR;ARAUCÁRIA;86812;410;1075;6549;8131;19992;18928;21685;7713;1999;330;44943;41869;0
74365;PR;HONÓRIO SERPA;3959;79;85;282;339;727;791;1039;450;148;19;1917;2042;0
74373;PR;ASSAÍ;13373;74;126;658;1071;2851;2452;3241;1610;964;325;6958;6404;11
74381;PR;IGUATU;2036;34;34;121;174;390;357;514;212;140;60;1013;1022;1
74390;PR;ASTORGA;20794;65;141;1003;1568;3997;3886;5425;2442;1420;847;10682;10103;9
74403;PR;IRACEMA DO OESTE;2538;38;40;139;209;469;451;689;224;197;82;1293;1242;3
74411;PR;ATALAIA;3624;42;61;184;290;668;651;959;434;223;112;1824;1795;5
74420;PR;NOVO ITACOLOMI;2561;45;45;145;189;498;436;693;291;167;52;1246;1315;0
74438;PR;BALSA NOVA;11061;106;151;669;926;2459;2332;2723;1048;510;137;5472;5589;0
74446;PR;ITAPERUÇU;18252;232;394;1414;1964;4294;3976;3852;1385;572;169;9153;9099;0
74454;PR;BANDEIRANTES;25716;96;196;1341;2119;5266;4680;6605;3042;1584;786;13359;12338;19
74462;PR;IVATÉ;5848;55;72;313;492;1233;1128;1472;587;352;143;2932;2907;9
