cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
58009;RJ;QUISSAMÃ;18091;177;258;1159;1668;3988;3407;4533;1773;866;261;9155;8906;30
58017;RJ;ANGRA DOS REIS;129454;693;1405;8051;11326;28575;27563;31930;12532;5040;2337;64836;64517;101
58025;RJ;QUATIS;10393;93;121;593;866;2115;1962;2611;1080;568;384;5267;5119;7
58033;RJ;ARARUAMA;92990;193;524;4584;7704;18136;17749;23552;11185;5988;3371;49435;43407;148
58041;RJ;BELFORD ROXO;328777;788;2426;19814;31375;72312;65923;79016;32442;14729;9942;175793;152467;517
58050;RJ;BARRA DO PIRAÍ;71099;134;353;3259;5044;13331;13295;18922;8765;4547;3449;37183;33791;125
58068;RJ;CARDOSO MOREIRA;11621;116;160;543;833;2307;2166;2790;1413;823;469;5811;5799;11
58076;RJ;BARRA MANSA;135384;376;804;6905;9880;27090;25853;35649;15847;7910;5067;70940;64243;201
58084;RJ;VARRE-SAI;8154;125;115;505;688;1764;1635;1886;838;406;192;3976;4176;2
58092;RJ;BOM JARDIM;21947;83;184;1043;1573;4372;4395;5636;2534;1222;905;10954;10986;7
58106;RJ;GUAPIMIRIM;40346;330;543;2334;3692;8570;8214;9534;3982;1979;1167;20713;19589;44
58114;RJ;BOM JESUS DO ITABAPOANA;29353;178;309;1580;2303;5699;5293;7487;3494;2000;1009;15429;13919;5
58122;RJ;QUEIMADOS;113059;466;1338;8416;11007;24262;23143;26162;10293;4716;3255;59727;53235;97
58130;RJ;CABO FRIO;146434;397;933;7703;12328;29948;29241;38210;16481;7515;3675;78503;67801;130
58149;RJ;JAPERI;73471;385;865;4906;7282;16181;15218;17106;6477;3044;2005;37975;35428;68
58157;RJ;CACHOEIRAS DE MACACU;45092;139;347;2292;3750;9074;9016;11513;4921;2412;1626;22826;22202;64
58165;RJ;COMENDADOR LEVY GASPARIAN;7745;82;117;468;633;1563;1485;1980;823;448;146;3975;3767;3
58173;RJ;CAMBUCI;12240;141;179;657;828;2223;2256;3187;1548;843;377;6012;6207;21
58181;RJ;APERIBÉ;8999;63;99;360;627;1844;1701;2290;1075;645;295;4619;4375;5
58190;RJ;CAMPOS DOS GOYTACAZES;359323;693;2094;18592;30175;74907;68674;89940;38236;19730;16271;191321;167317;685
58203;RJ;RIO DAS OSTRAS;84956;285;576;4838;7078;18636;19279;21161;8421;3398;1282;45319;39616;21
58211;RJ;CANTAGALO;16471;102;149;767;1145;3155;3046;4368;1898;1210;631;8302;8157;12
58220;RJ;AREAL;9672;73;110;498;815;2058;1834;2443;1040;565;236;4985;4681;6
58238;RJ;CARMO;14272;78;159;734;1086;2780;2828;3653;1684;876;394;7473;6793;6
58246;RJ;PINHEIRAL;17682;106;223;1001;1388;3685;3411;4463;2023;806;576;9140;8506;36
58254;RJ;CASIMIRO DE ABREU;31670;224;393;1921;2760;6680;6356;7933;3310;1534;558;16191;15461;18
58262;RJ;IGUABA GRANDE;21857;83;157;1054;1692;3911;4008;5645;2976;1662;669;11395;10453;9
58270;RJ;CONCEIÇÃO DE MACABU;17631;152;217;1008;1488;3429;3327;4509;1821;984;696;8938;8666;27
58289;RJ;SÃO FRANCISCO DE ITABAPOANA;37180;249;429;1875;3104;7392;7026;9040;4050;2183;1831;18350;18748;82
58297;RJ;CORDEIRO;16698;89;163;877;1283;3322;3230;4189;1837;1019;688;8758;7914;26
58300;RJ;CARAPEBUS;12363;183;187;710;1052;2557;2527;3101;1227;565;254;6065;6278;20
58319;RJ;DUAS BARRAS;9710;99;138;524;769;2068;1915;2465;1011;463;258;4749;4952;9
58327;RJ;PORTO REAL;16931;155;298;1087;1504;3801;3615;4071;1451;622;327;8626;8301;4
58335;RJ;DUQUE DE CAXIAS;628164;779;2583;32273;56485;133137;127199;157981;65479;29894;22335;335142;291956;1066
58343;RJ;SÃO JOSÉ DE UBÁ;7195;63;94;362;550;1415;1438;1815;782;486;190;3578;3612;5
58351;RJ;ENGENHEIRO PAULO DE FRONTIN;10615;92;144;571;756;2014;1962;2851;1330;663;232;5496;5111;8
58360;RJ;TANGUÁ;24512;176;267;1367;2009;5129;5391;5919;2418;1202;633;12464;12023;25
58378;RJ;ITABORAÍ;170825;503;1298;9833;15186;35764;36389;42262;17601;7833;4153;89603;80990;232
58386;RJ;MACUCO;7113;88;123;419;544;1533;1461;1646;776;356;166;3641;3461;11
58394;RJ;ITAGUAÍ;89731;251;720;5370;7891;19072;18574;22123;9295;4157;2278;46433;43165;133
58408;RJ;ARMAÇÃO DOS BÚZIOS;25868;131;295;1534;2217;5413;5718;6903;2478;974;204;13381;12487;0
58416;RJ;ITAOCARA;19315;117;168;839;1345;3593;3506;5128;2461;1470;686;9920;9378;17
58424;RJ;SEROPÉDICA;55002;158;377;3001;4913;11600;11289;13862;5695;2504;1603;28598;26328;76
58432;RJ;ITAPERUNA;75770;292;621;3497;5257;14293;14584;19669;8855;4960;3740;40129;35510;131
58440;RJ;ITATIAIA;25182;225;326;1461;2075;5191;5304;6232;2554;1207;607;12822;12347;13
58459;RJ;LAJE DO MURIAÉ;7477;108;115;393;577;1356;1417;1887;842;440;341;3672;3800;5
