cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
16004;RN;TENENTE LAURENTINO CRUZ;4912;73;80;315;416;1278;1045;919;413;233;140;2486;2426;0
16012;RN;ACARI;9706;89;120;518;752;2055;1918;2216;994;610;434;5062;4642;2
16020;RN;SERRA DO MEL;9522;204;234;676;900;2342;1954;2031;617;393;171;4694;4828;0
16039;RN;ASSÚ;40798;402;602;2654;3554;9721;8170;9528;3383;1937;846;21311;19487;0
16047;RN;CAIÇARA DO NORTE;5374;61;109;332;523;1345;1137;1097;455;230;84;2670;2703;1
16055;RN;AFONSO BEZERRA;9095;157;196;669;821;2073;1669;2252;750;400;108;4664;4431;0
16063;RN;SÃO MIGUEL DO GOSTOSO;8015;127;172;613;878;2087;1462;1432;613;364;266;3895;4119;1
16071;RN;ÁGUA NOVA;2500;38;39;190;262;606;489;488;237;119;31;1257;1243;0
16080;RN;ITAJÁ;6206;102;124;414;572;1531;1351;1297;444;247;124;3117;3089;0
16098;RN;ALEXANDRIA;10683;160;155;618;868;2164;2051;2439;1167;709;349;5639;5044;0
16101;RN;BODÓ;3214;49;59;222;315;811;638;623;243;160;94;1493;1716;5
16110;RN;ALMINO AFONSO;4833;54;72;289;431;1059;957;1157;463;254;96;2450;2383;0
16128;RN;TRIUNFO POTIGUAR;4076;81;58;256;356;1043;767;807;364;212;132;2005;2068;3
16136;RN;ALTO DO RODRIGUES;10589;124;230;713;959;2582;2278;2463;758;383;99;5416;5173;0
16144;RN;FERNANDO PEDROZA;3310;59;56;153;264;863;598;775;257;178;107;1605;1703;2
16152;RN;ANGICOS;9764;108;134;524;842;2446;1800;2214;857;504;335;4990;4766;8
16160;RN;MAJOR SALES;3022;52;53;175;252;692;507;677;336;188;89;1574;1448;0
16179;RN;ANTÔNIO MARTINS;5972;103;84;358;487;1279;1201;1295;662;339;164;3070;2902;0
16187;RN;VENHA-VER;3993;89;94;351;404;987;736;739;316;182;95;1925;2067;1
16195;RN;APODI;29033;288;420;1657;2494;6333;5752;6995;2582;1440;1069;14888;14111;34
16209;RN;SERRINHA DOS PINTOS;4256;64;60;229;393;904;817;933;430;285;141;2118;2138;0
16217;RN;AREIA BRANCA;20157;190;279;1254;1711;4466;4071;5138;1813;967;267;10416;9741;0
16225;RN;TIBAU;4597;75;88;282;411;1158;946;1045;382;174;35;2333;2264;0
16233;RN;ARÊS;11152;189;227;776;1107;2636;2178;2425;857;535;222;5736;5415;1
16241;RN;SANTA MARIA;4700;61;81;350;481;1165;908;917;390;222;125;2276;2423;1
16250;RN;CAMPO GRANDE;8473;84;132;485;742;1863;1646;1846;764;536;374;4261;4209;3
16268;RN;RIO DO FOGO;11164;219;239;827;1073;2669;2310;2104;831;510;381;5500;5661;3
16276;RN;BAÍA FORMOSA;6518;132;175;459;533;1417;1333;1550;551;291;76;3336;3182;0
16284;RN;PORTO DO MANGUE;4436;84;103;375;446;1041;861;968;341;175;42;2158;2278;0
16292;RN;BARCELONA;4368;90;92;299;418;974;810;977;398;233;77;2154;2214;0
16306;RN;JUNDIÁ;3712;78;91;314;358;933;735;726;280;155;42;1836;1876;0
16314;RN;BENTO FERNANDES;4919;98;145;341;489;1215;916;926;415;251;123;2400;2518;1
16330;RN;BOM JESUS;7563;87;144;502;751;1681;1476;1623;681;435;183;3812;3751;0
16357;RN;BREJINHO;9337;160;204;650;931;2267;1890;1908;808;402;117;4846;4491;0
16373;RN;CAIÇARA DO RIO DO VENTO;3917;62;66;266;396;977;742;817;325;187;79;1967;1947;3
16390;RN;CAICÓ;41480;215;507;2357;3167;8795;8156;10597;4275;2419;990;22369;19111;0
16411;RN;CAMPO REDONDO;8168;127;135;552;749;1795;1439;1755;795;564;257;4137;4026;5
16438;RN;CANGUARETAMA;22173;349;542;1789;2326;5342;4308;4669;1545;917;383;11494;10679;0
16454;RN;CARAÚBAS;17888;229;284;1094;1599;4011;3463;4107;1715;971;415;9287;8601;0
16470;RN;CARNAÚBA DOS DANTAS;6026;60;71;340;530;1285;1210;1378;550;365;237;3043;2982;1
16497;RN;CARNAUBAIS;8445;160;169;571;754;1960;1641;2011;624;346;209;4262;4183;0
16519;RN;CEARÁ-MIRIM;47223;267;751;3405;4866;11548;9493;10208;4021;2025;636;25182;22041;0
16535;RN;CERRO CORÁ;8771;96;122;543;739;2052;1636;1874;774;531;404;4460;4311;0
16551;RN;CORONEL EZEQUIEL;5095;93;93;403;485;1198;929;988;465;284;157;2506;2589;0
16578;RN;CORONEL JOÃO PESSOA;4135;109;94;326;402;898;652;869;401;256;127;2112;2022;1
16594;RN;CRUZETA;7224;73;116;391;591;1563;1338;1710;753;425;264;3668;3556;0
16616;RN;CURRAIS NOVOS;32746;106;254;1712;2690;6949;6475;7694;3261;2066;1536;17397;15346;3
16632;RN;DOUTOR SEVERIANO;5679;90;112;391;507;1287;1003;1216;611;298;164;2969;2706;4
16659;RN;ENCANTO;4319;81;99;301;408;945;796;971;424;235;59;2252;2067;0
16675;RN;EQUADOR;4432;85;63;324;422;1017;854;986;390;214;77;2254;2178;0
16691;RN;ESPÍRITO SANTO;6435;120;155;492;627;1482;1233;1363;579;322;62;3353;3082;0
16713;RN;EXTREMOZ;22197;210;377;1543;2288;5473;4714;4841;1735;816;198;11711;10475;11
16730;RN;FELIPE GUERRA;6995;121;133;402;581;1516;1401;1708;623;351;159;3543;3440;12
16756;RN;FLORÂNIA;8010;81;108;465;699;1772;1521;1861;809;492;202;4052;3958;0
16772;RN;FRANCISCO DANTAS;2643;23;40;178;216;591;525;609;256;150;55;1333;1310;0
16799;RN;GALINHOS;2361;46;66;177;252;591;482;486;153;90;18;1158;1203;0
16810;RN;GOIANINHA;18474;231;374;1470;1977;4587;3851;3860;1364;629;130;9631;8843;0
16837;RN;GOVERNADOR DIX-SEPT ROSADO;11339;142;182;732;1006;2510;2178;2725;1061;617;186;5747;5592;0
16853;RN;GROSSOS;7949;100;144;489;676;1834;1546;2035;657;364;104;4033;3916;0
16870;RN;GUAMARÉ;13224;160;245;897;1284;3434;2910;2883;816;451;144;6753;6471;0
16896;RN;IELMO MARINHO;9997;167;204;700;1036;2503;2010;2047;787;420;121;4941;5056;0
16918;RN;IPANGUAÇU;11641;155;187;730;994;2809;2404;2607;1004;477;274;5934;5707;0
16934;RN;IPUEIRA;1930;37;23;107;152;403;369;424;218;134;63;969;960;1
16950;RN;ITAÚ;5255;82;89;311;474;1174;985;1265;454;265;156;2706;2548;1
16977;RN;JAÇANÃ;6393;94;107;377;585;1434;1209;1278;603;455;251;3243;3146;4
16993;RN;JANDAÍRA;6197;102;142;407;568;1492;1226;1241;469;288;260;3042;3155;0
17019;RN;JANDUÍS;4677;52;74;284;406;1028;842;1074;467;294;155;2427;2247;3
17035;RN;BOA SAÚDE;7781;128;106;470;752;1771;1507;1529;697;465;356;3878;3901;2
17051;RN;JAPI;5712;110;129;428;564;1398;989;1137;487;314;156;2873;2839;0
17078;RN;JARDIM DE ANGICOS;2812;47;47;178;248;663;504;614;264;168;79;1377;1435;0
17094;RN;JARDIM DE PIRANHAS;10229;136;185;692;865;2347;2120;2373;935;441;135;5306;4923;0
17116;RN;JARDIM DO SERIDÓ;10533;92;133;533;747;2046;1941;2655;1186;743;456;5474;5057;2
17132;RN;JOÃO CÂMARA;26387;314;496;1931;2694;6304;5055;5036;2088;1381;1088;13536;12847;4
17159;RN;JOÃO DIAS;2703;49;54;180;287;622;508;563;225;132;83;1365;1338;0
17175;RN;JOSÉ DA PENHA;5342;71;84;364;422;1119;911;1163;577;446;185;2801;2541;0
17191;RN;JUCURUTU;15431;168;217;793;1166;3483;3157;3411;1442;925;667;7826;7604;1
17213;RN;MESSIAS TARGINO;4326;82;89;304;403;965;859;957;373;210;83;2192;2132;2
17230;RN;LAGOA D'ANTA;5627;118;140;458;633;1386;1042;1044;390;273;142;2819;2807;1
17256;RN;LAGOA DE PEDRAS;6482;130;181;500;660;1505;1241;1258;540;307;159;3219;3263;0
17272;RN;LAGOA DE VELHOS;3235;59;69;237;373;801;577;682;263;135;38;1559;1676;0
17299;RN;LAGOA NOVA;12500;157;226;853;1114;3058;2415;2543;1026;673;435;6463;6035;2
17310;RN;LAGOA SALGADA;8542;166;190;647;896;2023;1727;1766;701;354;71;4260;4282;0
17337;RN;LAJES;9173;105;142;553;795;2067;1633;2048;895;558;377;4652;4515;6
17353;RN;LAJES PINTADAS;5073;62;87;326;475;1244;908;1039;478;292;162;2508;2564;1
17370;RN;LUCRÉCIA;3265;52;61;213;333;722;664;712;306;156;46;1677;1588;0
17396;RN;LUÍS GOMES;8163;87;102;500;766;1836;1461;1684;831;543;353;4250;3911;2
17418;RN;MACAÍBA;48828;351;715;3156;5024;11890;10352;10790;3934;2023;588;25943;22885;0
17434;RN;MACAU;21928;149;239;1259;1843;4660;4408;5897;1895;1178;395;11554;10374;0
17450;RN;MARCELINO VIEIRA;6770;101;108;406;558;1564;1136;1480;791;419;207;3487;3279;4
17477;RN;MARTINS;7189;92;101;410;624;1528;1364;1524;812;486;248;3735;3454;0
17493;RN;MAXARANGUAPE;9934;202;210;677;1042;2427;1968;1999;842;389;177;4918;5014;2
17515;RN;FRUTUOSO GOMES;3956;49;84;204;347;866;770;947;406;224;59;2055;1901;0
17531;RN;MONTANHAS;10109;175;222;712;966;2263;1949;1894;760;633;532;5014;5092;3
17558;RN;MONTE ALEGRE;15786;248;322;1168;1670;3645;3014;3416;1301;747;254;8211;7575;0
17574;RN;MONTE DAS GAMELEIRAS;2926;65;84;249;297;703;555;548;175;141;109;1399;1524;3
17590;RN;MOSSORÓ;167120;721;1457;9585;15046;39620;34802;41109;14413;7377;2983;89662;77454;4
17612;RN;NATAL;534582;1168;3376;29980;47846;122731;106753;131739;53543;26472;10955;295974;238600;8
17639;RN;NÍSIA FLORESTA;19894;252;387;1424;2111;4593;4035;4297;1635;905;255;10015;9879;0
17655;RN;NOVA CRUZ;29140;263;474;1815;2771;6777;5560;5946;2447;1749;1336;15229;13906;5
17671;RN;OLHO D'ÁGUA DO BORGES;4617;76;87;256;357;987;873;1025;477;304;175;2262;2354;1
17698;RN;OURO BRANCO;4255;75;63;213;309;944;755;1015;476;269;135;2107;2148;0
17710;RN;PARANÁ;3628;62;66;227;305;869;661;726;367;241;104;1782;1845;1
17736;RN;PARAÚ;4396;73;91;275;400;986;831;991;346;247;156;2200;2194;2
17752;RN;PARAZINHO;5027;103;104;412;480;1352;916;859;394;246;160;2524;2500;3
17779;RN;PARELHAS;16142;157;225;965;1378;3898;3112;3760;1567;789;291;8412;7730;0
17795;RN;PARNAMIRIM;108719;620;1321;7605;10352;25341;23042;27193;9065;3336;841;59897;48822;0
17817;RN;PASSA E FICA;9256;183;219;645;889;2232;1736;1729;733;526;364;4749;4500;7
17833;RN;PASSAGEM;3682;58;64;235;367;853;782;714;305;193;111;1826;1856;0
17850;RN;PATU;9532;181;185;590;796;1966;1947;2092;951;570;254;4997;4524;11
17876;RN;PAU DOS FERROS;19190;207;265;1190;1772;4332;3784;4510;1836;985;307;10354;8836;0
17892;RN;PEDRA GRANDE;4138;73;93;290;439;1004;824;690;349;205;171;2044;2093;1
17914;RN;PEDRA PRETA;3336;43;76;236;354;848;580;691;294;154;60;1548;1788;0
17930;RN;PEDRO AVELINO;7140;132;132;513;687;1649;1291;1544;646;395;151;3510;3630;0
17957;RN;PEDRO VELHO;12557;178;203;799;1225;2842;2258;2559;1111;727;652;6330;6220;7
17973;RN;PENDÊNCIAS;9960;89;218;652;929;2249;2010;2472;852;407;82;5146;4814;0
17990;RN;PILÕES;3488;54;63;204;301;800;713;716;347;184;106;1750;1738;0
18015;RN;POÇO BRANCO;11078;185;245;771;1162;2730;2212;2051;891;531;299;5562;5510;6
18031;RN;PORTALEGRE;6394;88;106;344;574;1398;1090;1455;658;410;270;3306;3088;0
18058;RN;SERRA CAIADA;7929;121;122;491;844;1830;1494;1595;645;454;331;3930;3998;1
18074;RN;PUREZA;7015;83;179;531;712;1651;1369;1534;585;283;88;3541;3474;0
18090;RN;RAFAEL FERNANDES;4249;90;62;262;362;944;797;957;444;249;82;2152;2097;0
18112;RN;RIACHO DA CRUZ;2859;54;43;162;277;640;550;633;228;179;93;1427;1431;1
18139;RN;RIACHO DE SANTANA;3377;50;62;208;294;730;598;745;356;243;91;1706;1671;0
18155;RN;RIACHUELO;6278;119;149;434;687;1498;1154;1256;532;292;157;3172;3102;4
18171;RN;RODOLFO FERNANDES;4465;77;72;278;423;894;875;996;449;277;124;2296;2162;7
18198;RN;RUY BARBOSA;3688;71;69;264;392;804;773;770;294;178;73;1795;1893;0
18210;RN;SÃO FRANCISCO DO OESTE;3839;72;69;264;361;836;746;857;395;193;46;1893;1946;0
18236;RN;SANTA CRUZ;26648;181;345;1789;2655;6418;4953;5533;2231;1495;1044;13915;12724;9
18252;RN;SANTANA DO SERIDÓ;2398;42;37;130;202;581;455;570;219;117;45;1181;1217;0
18279;RN;SANTANA DO MATOS;12299;114;149;620;929;2609;2286;2918;1271;798;605;6308;5980;11
18295;RN;SANTO ANTÔNIO;18799;264;294;1169;1783;4123;3676;3739;1637;1146;967;9639;9156;4
18317;RN;SÃO BENTO DO NORTE;3506;53;68;228;350;882;672;703;312;167;71;1712;1793;1
18333;RN;SÃO BENTO DO TRAIRÍ;4137;82;84;310;437;1047;721;829;314;222;91;2074;2062;1
18350;RN;SÃO FERNANDO;3288;40;57;181;273;719;630;793;341;208;46;1639;1649;0
18376;RN;SÃO GONÇALO DO AMARANTE;61413;616;1097;4356;5878;14661;13173;14041;4964;2099;526;32601;28812;0
18392;RN;SÃO JOÃO DO SABUGI;5448;50;85;279;441;1192;999;1243;609;407;143;2734;2713;1
18414;RN;SÃO JOSÉ DE MIPIBU;29140;218;428;2005;3066;7147;5718;6278;2457;1412;411;15161;13979;0
18430;RN;SÃO JOSÉ DO CAMPESTRE;10640;126;172;685;1040;2356;1923;2191;985;653;508;5519;5120;1
18457;RN;SÃO JOSÉ DO SERIDÓ;4127;52;82;214;356;963;788;974;390;224;84;2060;2067;0
18473;RN;SÃO MIGUEL;19134;257;352;1319;1689;4227;3426;4000;1847;1219;798;10255;8865;14
18490;RN;SÃO PAULO DO POTENGI;13889;105;187;761;1296;3186;2575;3097;1179;806;696;7143;6736;10
18511;RN;SÃO PEDRO;6258;102;150;437;599;1374;1264;1250;565;369;148;3152;3105;1
18538;RN;SÃO RAFAEL;7580;84;141;373;572;1685;1437;1796;706;488;298;3854;3722;4
18554;RN;SÃO TOMÉ;9182;119;152;619;898;2058;1701;2056;902;504;173;4635;4547;0
18570;RN;SÃO VICENTE;5187;59;88;306;376;1152;978;1205;496;317;209;2615;2569;3
18597;RN;SENADOR ELÓI DE SOUZA;4866;69;113;382;545;1124;911;1083;429;168;42;2426;2440;0
18619;RN;SENADOR GEORGINO AVELINO;3986;95;103;288;387;947;807;792;303;182;82;2042;1943;1
18635;RN;SERRA DE SÃO BENTO;5742;111;107;390;576;1436;989;1204;462;318;149;2901;2839;2
18651;RN;SERRA NEGRA DO NORTE;6378;82;104;324;505;1286;1214;1518;665;429;250;3276;3101;1
18678;RN;SERRINHA;6905;118;140;506;642;1570;1378;1322;548;429;251;3323;3581;1
