cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
116;RO;PIMENTA BUENO;27173;196;408;1770;2596;6421;5528;6258;2230;1082;684;13554;13619;0
132;RO;VILHENA;58578;295;700;3766;5613;13987;12325;13971;4589;2242;1090;30370;28208;0
159;RO;JARU;40853;271;454;2650;3871;9778;8387;8928;3315;1873;1324;20371;20482;0
175;RO;OURO PRETO DO OESTE;29716;174;380;1741;2673;6836;5851;6995;2594;1460;1008;15270;14446;0
19;RO;GUAJARÁ-MIRIM;28042;205;471;2104;3024;6634;5860;6109;2231;1044;360;14389;13653;0
191;RO;PRESIDENTE MÉDICI;17069;95;199;977;1494;3530;3290;4109;1701;923;750;8546;8523;0
213;RO;COSTA MARQUES;9030;94;163;719;952;2170;1857;1851;702;321;201;4301;4729;0
230;RO;COLORADO DO OESTE;13856;76;168;808;1279;3051;2743;3301;1358;777;294;6944;6912;0
256;RO;ESPIGÃO DO OESTE;22404;163;290;1472;2023;5231;4681;5166;1905;968;504;11184;11220;0
272;RO;CEREJEIRAS;13907;98;188;860;1255;3008;2615;3239;1291;778;574;7065;6842;0
299;RO;ROLIM DE MOURA;38951;205;461;2525;3931;9002;8013;8862;3235;1659;1055;19998;18953;0
310;RO;ALTA FLORESTA DO OESTE;19214;121;220;1142;1813;4426;3813;4512;1659;970;537;9350;9864;0
337;RO;ALVORADA DO OESTE;12611;106;142;830;1154;2561;2443;3024;1196;696;454;6219;6392;0
35;RO;PORTO VELHO;319939;1664;3583;22001;33783;82484;69067;73199;23449;8379;2307;165770;154168;1
353;RO;SANTA LUZIA DO OESTE;7615;60;96;433;727;1630;1420;1864;699;390;296;3708;3907;0
370;RO;NOVA BRASILÂNDIA DO OESTE;14728;99;164;897;1465;3292;3092;3268;1360;714;376;7134;7594;0
396;RO;MACHADINHO DO OESTE;22700;165;327;1598;2201;5297;4894;5315;1931;780;189;10773;11927;0
418;RO;SÃO MIGUEL DO GUAPORÉ;16383;176;294;1190;1744;3827;3318;3617;1264;651;299;7935;8448;0
434;RO;NOVA MAMORÉ;16981;143;265;1149;1726;4135;3882;3735;1308;502;134;8211;8770;0
450;RO;CABIXI;4704;38;59;270;381;981;863;1249;502;264;97;2277;2427;0
477;RO;CANDEIAS DO JAMARI;17753;195;311;1330;1986;4302;3581;3967;1459;506;116;8562;9191;0
493;RO;ITAPUÃ DO OESTE;6350;65;101;440;653;1502;1319;1425;582;219;43;3061;3289;0
51;RO;JI-PARANÁ;78376;346;1174;5304;7524;18533;16423;19162;6862;2445;602;41551;36825;0
515;RO;NOVO HORIZONTE DO OESTE;7849;81;121;448;720;1651;1537;1887;715;445;244;3732;4117;0
531;RO;CASTANHEIRAS;3303;58;67;216;370;690;669;740;306;160;27;1572;1731;0
558;RO;VALE DO PARAÍSO;6559;51;88;391;596;1447;1285;1538;635;324;202;3156;3403;0
566;RO;URUPÁ;9640;106;119;572;855;2177;1926;2114;1050;474;247;4625;5015;0
574;RO;MIRANTE DA SERRA;9054;72;150;580;838;1953;1810;1973;838;497;342;4474;4580;0
582;RO;SERINGUEIRAS;9362;85;149;630;982;2128;1861;2177;762;403;184;4394;4968;0
590;RO;THEOBROMA;8595;100;133;537;752;1834;1836;2000;821;376;206;4004;4591;0
604;RO;MINISTRO ANDREAZZA;7347;123;120;456;688;1556;1527;1660;655;365;196;3569;3778;0
612;RO;GOVERNADOR JORGE TEIXEIRA;7813;88;101;456;749;1902;1562;1745;711;378;121;3717;4096;0
620;RO;CACAULÂNDIA;3995;36;60;212;381;901;816;966;387;186;50;1955;2040;0
639;RO;ALTO PARAÍSO;11957;77;169;733;1166;2718;2599;2849;1066;465;115;5732;6225;0
647;RO;RIO CRESPO;3052;32;52;187;275;702;597;767;276;125;39;1461;1591;0
655;RO;CORUMBIARA;6274;53;86;359;562;1418;1296;1510;528;291;170;2938;3336;0
663;RO;MONTE NEGRO;9939;103;130;624;907;2228;2169;2290;930;450;108;4894;5045;0
671;RO;CAMPO NOVO DE RONDÔNIA;8065;74;137;565;792;1885;1697;1947;676;258;34;3769;4296;0
680;RO;CUJUBIM;10529;81;159;715;1115;2530;2488;2349;779;264;49;5125;5404;0
698;RO;VALE DO ANARI;6262;62;120;423;561;1361;1296;1479;619;279;62;2952;3310;0
701;RO;PARECIS;3688;41;57;272;396;887;715;863;281;147;29;1688;2000;0
710;RO;SÃO FELIPE DO OESTE;5101;33;69;271;413;1071;1033;1232;545;286;148;2399;2702;0
728;RO;PRIMAVERA DE RONDÔNIA;2756;53;57;183;211;576;562;660;280;126;48;1329;1427;0
736;RO;ALTO ALEGRE DOS PARECIS;8980;66;121;553;929;2001;1888;2075;800;384;160;4243;4737;0
744;RO;NOVA UNIÃO;5614;40;79;342;558;1243;1185;1259;502;267;139;2708;2906;0
752;RO;TEIXEIRÓPOLIS;4171;27;76;266;372;938;803;952;349;216;172;1992;2179;0
779;RO;BURITIS;22562;120;355;1663;2279;5438;5042;4954;1832;712;165;11071;11491;0
78;RO;ARIQUEMES;63466;394;716;4357;6352;15783;13731;14716;4901;2054;457;32921;30545;0
787;RO;PIMENTEIRAS DO OESTE;2353;33;47;136;229;545;480;533;203;91;56;1084;1269;0
795;RO;SÃO FRANCISCO DO GUAPORÉ;10982;75;169;736;1079;2610;2379;2494;891;406;143;5291;5691;0
809;RO;CHUPINGUAIA;6414;66;124;438;604;1534;1404;1450;486;208;99;2996;3418;0
94;RO;CACOAL;61650;259;660;3937;5999;14278;12559;14764;5122;2555;1515;31586;30064;0
