cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
3000;RR;CAROEBE;6067;122;133;481;610;1517;1209;1220;461;229;85;2805;3262;0
3018;RR;BOA VISTA;203575;2074;3668;16534;22784;53096;44123;41603;13340;4956;1391;106675;96900;0
3026;RR;IRACEMA;5358;88;141;439;529;1271;1064;1101;432;195;98;2494;2864;0
3034;RR;CARACARAÍ;13412;259;358;1104;1491;3358;2579;2602;1013;462;184;6408;7003;1
3042;RR;AMAJARI;6185;138;167;557;648;1455;1172;1272;489;206;80;2795;3390;0
3050;RR;ALTO ALEGRE;10174;226;265;877;1076;2427;1995;1962;804;379;162;4727;5447;0
3069;RR;CANTÁ;11694;253;302;921;1132;2635;2229;2624;1088;394;116;5434;6260;0
3077;RR;BONFIM;8753;181;239;807;942;1970;1678;1739;715;337;145;4330;4423;0
3085;RR;RORAINÓPOLIS;17308;278;392;1458;1925;4344;3408;3429;1351;562;160;8309;8999;0
3093;RR;MUCAJAÍ;11978;182;286;1003;1194;2811;2275;2452;996;511;268;5660;6318;0
3107;RR;UIRAMUTÃ;5342;112;157;460;642;1461;1021;907;272;208;102;2652;2690;0
3115;RR;NORMANDIA;6310;158;189;676;786;1637;1135;1016;398;197;118;3089;3221;0
3123;RR;PACARAIMA;8624;161;201;764;953;1957;1753;1765;719;252;99;4340;4283;1
3131;RR;SÃO JOÃO DA BALIZA;4820;86;143;392;477;1275;995;854;348;189;61;2204;2616;0
3158;RR;SÃO LUIZ;5205;110;131;405;556;1354;977;1016;419;164;73;2389;2816;0
