cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
84735;RS;ÁUREA;2888;20;45;174;185;490;521;806;445;177;25;1411;1477;0
84743;RS;TRÊS ARROIOS;2430;12;22;71;175;335;349;733;391;237;105;1186;1244;0
84751;RS;NOVA ROMA DO SUL;2928;26;51;131;201;500;439;897;359;235;89;1420;1508;0
84760;RS;PROGRESSO;4682;23;74;255;386;806;804;1353;618;298;65;2259;2423;0
84778;RS;PIRAPÓ;2208;33;30;111;145;312;297;680;336;198;66;1082;1126;0
84786;RS;JABOTICABA;3013;36;44;185;201;448;471;831;471;230;96;1512;1501;0
84794;RS;SÃO JORGE;2398;13;30;122;184;398;342;679;393;190;47;1189;1209;0
84808;RS;ALTO ALEGRE;1708;18;24;96;127;319;244;480;230;121;49;839;869;0
84816;RS;NOVA HARTZ;13572;100;174;845;1136;2901;2874;3644;1280;484;134;7018;6554;0
84824;RS;DOIS LAJEADOS;2805;18;26;110;195;500;465;733;416;256;86;1378;1427;0
84832;RS;SÃO DOMINGOS DO SUL;2598;14;33;125;201;447;388;666;412;202;110;1306;1292;0
84840;RS;TUNAS;3155;51;65;188;223;573;587;826;364;212;66;1518;1637;0
84859;RS;SÃO JOÃO DA URTIGA;4167;31;45;200;324;678;625;1136;644;357;127;2051;2116;0
84867;RS;GUABIJU;1383;11;8;54;90;245;174;398;257;119;27;663;720;0
84875;RS;QUINZE DE NOVEMBRO;3220;24;34;125;229;599;554;776;478;282;119;1615;1605;0
84883;RS;DOUTOR MAURÍCIO CARDOSO;4404;17;31;188;325;677;632;1232;683;426;193;2203;2201;0
84891;RS;CAPELA DE SANTANA;6871;38;86;443;581;1348;1309;1959;809;256;42;3484;3387;0
84905;RS;JAQUIRANA;3207;31;51;193;238;531;525;914;457;207;60;1574;1633;0
84913;RS;VANINI;1888;22;25;108;144;351;273;527;243;142;53;954;934;0
84921;RS;BOQUEIRÃO DO LEÃO;5285;36;91;287;403;1076;941;1395;639;294;123;2581;2704;0
84930;RS;FAGUNDES VARELA;2258;12;21;95;140;395;400;639;350;161;45;1099;1159;0
84948;RS;ÁGUA SANTA;2900;28;55;174;222;578;451;774;360;193;65;1449;1451;0
84956;RS;SILVEIRA MARTINS;2208;7;13;97;152;371;343;568;297;235;125;1093;1115;0
84964;RS;IBIRAPUITÃ;3449;44;73;222;290;644;533;844;437;272;90;1695;1754;0
84972;RS;IBARAMA;3759;59;74;183;307;773;705;887;483;221;67;1817;1942;0
84980;RS;PANTANO GRANDE;7763;87;138;430;588;1405;1333;2026;1069;492;195;3943;3820;0
84999;RS;IPÊ;5143;32;61;266;318;896;819;1481;797;387;86;2500;2643;0
85006;RS;TRINDADE DO SUL;4457;75;118;290;316;815;785;1217;590;214;37;2199;2258;0
85014;RS;AGUDO;13374;62;133;607;960;2451;2362;3458;1710;1030;601;6742;6632;0
85022;RS;ERNESTINA;2700;22;43;148;172;478;450;759;366;223;39;1350;1350;0
85030;RS;AJURICABA;5877;29;52;288;401;995;954;1671;737;509;241;2987;2890;0
85049;RS;DEZESSEIS DE NOVEMBRO;2532;32;49;183;194;352;387;706;393;183;53;1228;1304;0
85057;RS;ALECRIM;6167;69;79;282;409;910;852;1673;1020;676;197;3020;3147;0
85065;RS;BROCHIER;3630;20;35;174;262;652;620;1066;555;209;37;1760;1870;0
85073;RS;ALEGRETE;60725;80;254;2614;4763;11797;10578;15921;7609;4321;2788;31385;29340;0
85081;RS;EREBANGO;2514;33;47;156;228;512;426;583;295;175;59;1238;1276;0
85090;RS;ALPESTRE;5962;70;114;322;375;1008;986;1752;886;382;67;2877;3085;0
85103;RS;ENTRE-IJUÍS;6677;36;74;357;485;1105;1112;1913;1049;450;96;3371;3306;0
85111;RS;ALVORADA;119228;288;1040;8835;11567;25963;23368;31367;13099;3231;470;65018;54210;0
85120;RS;NOVA ESPERANÇA DO SUL;3941;27;44;218;325;738;703;1085;461;258;82;2027;1914;0
85138;RS;ANTA GORDA;4806;29;48;221;334;820;734;1376;755;388;101;2371;2435;0
85146;RS;PAVERAMA;5659;47;72;300;359;946;1011;1484;791;433;216;2769;2890;0
85154;RS;ANTÔNIO PRADO;11161;35;66;556;854;2068;1783;3143;1387;837;432;5687;5474;0
85162;RS;TERRA DE AREIA;7208;73;131;387;567;1361;1230;1895;929;461;174;3733;3475;0
85170;RS;ARATIBA;5991;44;103;311;445;984;904;1634;883;500;183;2921;3070;0
85189;RS;HARMONIA;4061;26;38;211;293;810;721;1103;482;238;138;2008;2053;0
85197;RS;ARROIO DO MEIO;14925;69;165;768;1153;3111;2691;4285;1875;710;98;7556;7369;0
85200;RS;CAMPOS BORGES;3116;38;44;174;221;554;537;767;453;235;93;1536;1580;0
85219;RS;ARROIO DOS RATOS;9506;60;138;544;689;1762;1577;2583;1286;618;249;5057;4449;0
85227;RS;CERRO GRANDE;2200;43;48;113;168;386;333;601;306;157;45;1078;1122;0
85235;RS;ARROIO DO TIGRE;10617;102;161;556;838;2195;1889;2579;1320;661;316;5284;5333;0
85243;RS;IPIRANGA DO SUL;1873;17;17;82;134;333;287;523;265;164;51;937;936;0
85251;RS;ARROIO GRANDE;16201;106;189;814;1214;3064;2777;4101;2111;1112;713;8144;8057;0
85260;RS;LAGOÃO;5141;83;90;298;424;932;947;1290;563;321;193;2439;2702;0
85278;RS;ARVOREZINHA;8460;99;145;521;717;1535;1414;2046;1148;562;273;4262;4198;0
85286;RS;ESTAÇÃO;4699;28;76;257;339;842;774;1299;624;329;131;2417;2282;0
85294;RS;AUGUSTO PESTANA;6257;29;48;295;448;1051;997;1619;944;564;262;3220;3037;0
85308;RS;ARROIO DO SAL;6514;52;86;348;429;1055;1047;1862;1082;472;81;3376;3138;0
