cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
80004;SC;MONTE CARLO;7371;67;132;538;743;1532;1494;1745;610;323;186;3633;3738;0
80012;SC;ABELARDO LUZ;13198;95;185;931;1202;2798;2512;3128;1333;686;327;6563;6635;0
80020;SC;IPORÃ DO OESTE;7027;36;72;381;600;1396;1213;1865;868;430;166;3483;3544;0
80039;SC;AGROLÂNDIA;7793;52;92;440;669;1722;1512;1903;756;455;192;3904;3889;0
80047;SC;LINDÓIA DO SUL;3732;19;46;186;274;655;629;1051;508;235;129;1839;1893;0
80055;SC;AGRONÔMICA;4122;43;47;209;365;882;792;1054;428;204;98;2021;2101;0
80063;SC;APIÚNA;8282;83;109;504;710;1786;1597;1989;806;395;303;4089;4193;0
80071;SC;ÁGUA DOCE;5651;51;89;345;472;1083;1007;1400;621;366;217;2698;2953;0
80080;SC;DOUTOR PEDRINHO;2946;17;29;153;218;581;514;778;336;233;87;1471;1475;0
80098;SC;ÁGUAS DE CHAPECÓ;4839;54;76;258;387;1008;805;1261;572;294;124;2380;2459;0
80101;SC;JOSÉ BOITEUX;4164;61;64;285;401;930;712;947;394;247;122;2015;2149;0
80110;SC;ÁGUAS MORNAS;5526;31;52;315;469;1138;987;1557;596;302;78;2678;2848;0
80128;SC;VITOR MEIRELES;4506;73;79;279;423;952;792;1088;465;244;111;2125;2381;0
80136;SC;ALFREDO WAGNER;7771;86;120;448;712;1630;1294;2084;832;416;149;3750;4021;0
80144;SC;UNIÃO DO OESTE;2653;34;47;162;212;545;417;669;296;187;84;1260;1393;0
80152;SC;ANCHIETA;5314;42;69;307;451;1060;862;1440;607;350;126;2612;2702;0
80160;SC;URUPEMA;2308;28;32;102;173;413;448;613;264;173;62;1106;1202;0
80179;SC;ANGELINA;4820;38;71;272;395;950;813;1346;548;305;82;2264;2556;0
80187;SC;IRACEMINHA;3853;68;75;214;305;751;607;1006;459;274;94;1878;1975;0
80195;SC;ANITA GARIBALDI;7730;91;124;486;648;1452;1315;1879;848;530;357;3818;3912;0
80209;SC;TIMBÓ GRANDE;5877;59;115;526;598;1301;1173;1287;466;209;143;2855;3022;0
80217;SC;ANITÁPOLIS;2886;34;50;146;210;528;501;810;358;172;77;1349;1537;0
80225;SC;ABDON BATISTA;2387;23;33;137;175;476;391;616;316;173;47;1151;1236;0
80233;SC;ANTÔNIO CARLOS;7421;67;83;465;651;1532;1527;1888;717;375;116;3685;3736;0
80241;SC;SANTA ROSA DO SUL;7006;57;86;397;591;1399;1223;1817;795;396;244;3477;3529;0
80250;SC;ARAQUARI;19596;139;309;1255;1808;4476;4155;4654;1674;655;471;9708;9888;0
80268;SC;CELSO RAMOS;2476;42;53;138;220;465;415;657;276;163;47;1212;1264;0
80276;SC;ARARANGUÁ;48260;269;463;2776;4136;10381;9048;12194;5034;2417;1542;25166;23094;0
80284;SC;SERRA ALTA;2772;33;37;152;274;506;429;783;288;188;81;1382;1390;0
80292;SC;ARMAZÉM;6378;57;76;354;561;1366;1114;1594;674;420;162;3204;3174;0
80306;SC;COCAL DO SUL;13481;78;110;699;1073;3119;2557;3690;1393;540;222;6851;6630;0
80314;SC;ARROIO TRINTA;3140;35;31;149;241;588;542;839;416;213;86;1563;1577;0
80322;SC;NOVA ITABERABA;4024;45;70;251;349;802;687;1107;431;202;80;1871;2153;0
80330;SC;ASCURRA;6305;23;50;292;516;1287;1173;1638;720;350;256;3230;3075;0
80349;SC;SANTA TEREZINHA;6864;62;106;417;678;1465;1286;1696;627;346;181;3176;3688;0
80357;SC;ATALANTA;2903;32;38;168;248;616;423;778;353;169;78;1446;1457;0
80365;SC;MIRIM DOCE;2410;39;48;137;203;489;426;578;271;154;65;1174;1236;0
80373;SC;AURORA;4803;45;58;255;432;1041;851;1267;520;259;75;2339;2464;0
80381;SC;CERRO NEGRO;3167;37;57;212;243;613;581;790;353;204;77;1499;1668;0
80390;SC;BALNEÁRIO CAMBORIÚ;91438;131;367;3940;6888;20301;19130;23125;10433;4734;2387;49791;41647;0
80403;SC;PASSO DE TORRES;5881;59;80;284;454;1178;1061;1568;709;340;148;2952;2928;1
80411;SC;BARRA VELHA;21334;110;201;1293;1870;4250;3987;5301;2551;1194;577;10977;10357;0
80420;SC;BRAÇO DO TROMBUDO;3325;35;39;175;252;737;675;723;390;185;114;1635;1690;0
80438;SC;BENEDITO NOVO;8182;29;54;438;555;1655;1647;2052;928;492;332;4001;4181;0
80446;SC;SUL BRASIL;2513;34;52;173;229;484;406;628;305;161;41;1194;1319;0
80454;SC;BIGUAÇU;45568;122;374;2922;4186;10394;9524;11769;4462;1435;380;23790;21778;0
80462;SC;VARGEM;2954;46;41;167;250;647;543;726;304;169;61;1395;1559;0
80470;SC;BLUMENAU;230167;456;1748;13298;19511;52292;47723;63131;24588;6387;1031;120821;109346;0
80489;SC;ARABUTÃ;3826;32;49;151;288;756;673;907;535;293;142;1839;1987;0
80497;SC;BOM RETIRO;7142;100;140;461;655;1480;1275;1691;748;380;212;3575;3567;0
80500;SC;ÁGUAS FRIAS;2374;43;40;141;190;469;405;615;285;143;43;1138;1236;0
80519;SC;BOTUVERÁ;4253;23;57;190;355;916;752;1186;448;255;71;2046;2207;0
80527;SC;GUATAMBÚ;5252;40;63;324;484;1293;989;1247;529;214;69;2453;2799;0
80535;SC;BRAÇO DO NORTE;22836;148;298;1445;2142;5200;4271;5785;2048;1032;466;11731;11105;0
80543;SC;PLANALTO ALEGRE;2904;39;40;168;291;658;461;714;323;154;56;1404;1500;0
80551;SC;BRUSQUE;84382;128;386;3895;6992;20294;17152;22055;8129;3359;1991;44137;40245;0
80560;SC;RIQUEZA;4041;47;60;232;364;732;685;1026;512;295;88;1971;2070;0
80578;SC;CAÇADOR;51645;161;466;3355;4778;11059;10039;13023;4831;2516;1417;26534;25111;0
80586;SC;LAJEADO GRANDE;1760;21;33;79;162;419;262;452;194;87;51;863;897;0
80594;SC;CAIBI;4991;42;49;252;421;991;771;1327;664;313;161;2496;2495;0
80608;SC;RIO RUFINO;2381;38;40;154;208;477;438;585;253;122;66;1139;1242;0
80616;SC;CAMBORIÚ;42594;162;361;2714;4529;10513;9074;9719;3377;1399;746;22050;20544;0
80624;SC;PASSOS MAIA;3561;44;76;244;316;791;631;845;383;153;78;1721;1840;0
80632;SC;CAMPO ALEGRE;9480;57;94;547;739;1925;1953;2320;1067;507;271;4660;4820;0
80640;SC;SÃO JOÃO DO OESTE;5137;31;58;273;405;981;827;1358;726;383;95;2518;2619;0
80659;SC;CAMPO BELO DO SUL;6140;92;112;368;491;1142;1107;1563;684;366;215;2947;3193;0
80667;SC;CALMON;3510;69;68;255;337;798;686;824;291;124;58;1702;1808;0
80675;SC;CAMPO ERÊ;7362;80;135;486;686;1529;1258;1697;831;465;195;3745;3617;0
80683;SC;BALNEÁRIO BARRA DO SUL;9607;72;115;437;597;1554;1623;2587;1619;719;284;4777;4830;0
80691;SC;CAMPOS NOVOS;25466;87;224;1502;2325;5303;4838;6316;2563;1400;907;13045;12421;0
80705;SC;PARAÍSO;3774;36;60;222;321;760;592;960;478;249;96;1819;1955;0
80713;SC;CANELINHA;9235;88;117;476;813;2000;1867;2297;864;437;276;4606;4629;0
80721;SC;SANTA HELENA;2340;33;24;129;198;477;363;635;292;125;64;1160;1180;0
80730;SC;CANOINHAS;41734;126;308;2415;3638;8813;8345;10333;4056;2116;1584;21340;20394;0
80748;SC;BELMONTE;2486;33;42;149;215;517;435;599;275;166;55;1218;1268;0
80756;SC;CAPINZAL;16285;114;168;939;1393;3499;3418;4035;1505;828;385;8316;7969;0
80764;SC;NOVO HORIZONTE;2555;35;37;151;209;483;375;733;310;167;55;1199;1356;0
80772;SC;CATANDUVAS;7423;68;97;447;653;1543;1455;1882;729;399;150;3838;3585;0
80780;SC;SÃO MIGUEL DA BOA VISTA;1768;21;39;75;157;348;272;483;188;139;46;868;900;0
80799;SC;CAXAMBU DO SUL;4510;56;75;258;395;897;695;1147;570;281;136;2223;2287;0
80802;SC;ARVOREDO;2304;33;41;128;197;475;412;570;271;137;40;1060;1244;0
80810;SC;CHAPECÓ;140526;378;972;8295;12739;33178;28860;34843;12437;5789;3033;73384;67142;0
80829;SC;IPUAÇU;5081;69;131;429;529;1092;933;1104;451;200;143;2527;2554;0
80837;SC;CONCÓRDIA;56152;147;406;2927;4330;11579;10937;14377;6365;3416;1667;28709;27443;0
80845;SC;OURO VERDE;2178;23;42;132;199;442;395;571;205;101;68;1049;1129;0
80853;SC;CORONEL FREITAS;8208;44;64;395;636;1648;1405;2141;1021;560;294;4038;4170;0
80861;SC;IRATI;1945;13;36;123;185;435;307;483;208;117;38;916;1029;0
80870;SC;CORUPÁ;11612;28;82;598;900;2517;2348;2877;1142;642;478;5779;5833;0
80888;SC;FORMOSA DO SUL;2337;42;42;136;209;471;384;589;229;180;55;1176;1161;0
80896;SC;CRICIÚMA;141667;237;710;6953;11875;32576;26261;38159;15068;6420;3406;74481;67186;0
80900;SC;MACIEIRA;1958;22;24;105;158;441;377;486;216;90;39;916;1042;0
80918;SC;CUNHA PORÃ;8835;81;100;469;710;1718;1411;2380;1112;626;228;4521;4314;0
80926;SC;PONTE ALTA DO NORTE;2865;46;54;194;272;657;562;634;219;121;106;1420;1445;0
80934;SC;CURITIBANOS;30185;159;362;1939;2594;6261;5832;7255;3037;1724;1021;15676;14509;0
