cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
31003;SE;SANTANA DO SÃO FRANCISCO;5473;80;124;417;591;1406;1135;1053;379;216;72;2817;2656;0
31011;SE;AMPARO DE SÃO FRANCISCO;2569;54;64;195;266;630;515;522;190;100;33;1277;1292;0
31038;SE;AQUIDABÃ;15171;191;289;1004;1462;3407;2961;3275;1488;830;264;7844;7327;0
31054;SE;ARACAJU;397228;666;2118;22277;34969;95352;88896;96760;37143;15403;3639;218558;178670;0
31070;SE;ARAUÁ;8996;147;214;642;962;2169;1804;1912;698;365;82;4558;4438;0
31097;SE;AREIA BRANCA;12884;233;267;1090;1422;3110;2621;2688;927;426;100;6672;6212;0
31119;SE;BARRA DOS COQUEIROS;20023;173;324;1461;2009;4616;4508;4718;1494;589;131;10513;9510;0
31135;SE;BREJO GRANDE;6319;132;157;570;771;1527;1197;1191;468;212;94;3175;3144;0
31151;SE;BOQUIM;20197;181;279;1390;1984;4647;4085;4558;1816;986;271;10565;9632;0
31194;SE;CAMPO DO BRITO;13790;148;211;1007;1295;2999;2807;3039;1220;704;360;7230;6560;0
31216;SE;CANHOBA;4141;75;86;358;430;1000;803;832;329;167;61;2002;2139;0
31232;SE;CANINDÉ DE SÃO FRANCISCO;22394;380;496;1996;2749;5781;4748;4181;1347;607;108;11357;11037;0
31259;SE;CAPELA;23913;311;484;1937;2496;5973;4943;4755;1910;870;234;12266;11647;0
31275;SE;CARIRA;16138;288;315;1087;1596;3574;3089;3436;1576;875;300;8285;7853;0
31291;SE;CARMÓPOLIS;13398;162;246;1009;1437;3686;2899;2733;805;333;88;7051;6347;0
31313;SE;CEDRO DE SÃO JOÃO;4930;84;84;305;413;1051;930;1197;471;297;98;2528;2402;0
31330;SE;CRISTINÁPOLIS;12803;143;278;1029;1425;3176;2639;2477;893;523;219;6629;6174;0
31356;SE;NOSSA SENHORA APARECIDA;6835;91;108;465;644;1462;1466;1434;678;347;140;3420;3415;0
31372;SE;CUMBE;3803;77;85;297;381;877;776;793;282;190;45;1898;1905;0
31399;SE;DIVINA PASTORA;3673;54;73;278;374;875;770;780;267;153;49;1840;1833;0
31410;SE;ESTÂNCIA;45834;371;722;3179;4874;11161;9276;10326;3864;1673;387;24017;21817;0
31437;SE;FEIRA NOVA;5369;119;138;440;547;1290;1033;1111;406;218;67;2764;2605;0
31453;SE;FREI PAULO;11811;168;234;880;1240;2715;2296;2545;1044;511;177;6141;5670;0
31470;SE;GENERAL MAYNARD;2541;44;55;192;259;561;498;584;202;110;36;1260;1281;0
31496;SE;GARARU;8558;99;160;620;810;1995;1755;1828;762;431;98;4203;4355;0
31518;SE;GRACCHO CARDOSO;5514;101;121;385;529;1248;1069;1210;482;262;107;2736;2778;0
31534;SE;ILHA DAS FLORES;7030;146;176;561;780;1694;1335;1399;515;303;121;3575;3455;0
31550;SE;INDIAROBA;11641;233;300;921;1291;2872;2360;2261;893;416;94;5829;5812;0
31577;SE;ITABAIANA;64527;673;979;4538;6413;15333;13580;14353;5541;2505;611;34430;30097;0
31593;SE;ITABAIANINHA;27626;292;475;1967;2900;6732;5529;5702;2328;1185;516;14492;13134;0
31615;SE;ITABI;4381;66;92;297;419;925;830;1006;435;237;74;2204;2177;0
31631;SE;ITAPORANGA D'AJUDA;24924;140;379;1789;2689;6243;5301;5078;1971;973;361;12959;11965;0
31658;SE;JAPARATUBA;13573;190;280;1049;1420;3306;2629;2859;1105;566;169;6951;6622;0
31674;SE;JAPOATÃ;10246;160;236;684;1097;2509;2116;2033;840;454;117;5192;5054;0
31690;SE;LAGARTO;70191;578;946;4734;7188;16275;13973;15694;6344;3376;1082;36934;33257;0
31712;SE;LARANJEIRAS;20985;220;362;1526;2277;5280;4694;4479;1414;603;130;10796;10189;0
31739;SE;MACAMBIRA;5994;99;151;430;579;1348;1143;1282;536;279;147;3059;2935;0
31755;SE;MALHADA DOS BOIS;3712;86;92;296;383;880;758;768;267;142;40;1879;1833;0
31771;SE;MALHADOR;9235;79;127;610;949;2141;1886;2074;816;449;103;4731;4504;0
31798;SE;MARUIM;11885;56;208;807;1272;2841;2635;2571;899;465;130;6174;5711;0
31810;SE;MOITA BONITA;8960;113;166;582;823;2061;1854;1807;876;496;182;4592;4368;0
31836;SE;MONTE ALEGRE DE SERGIPE;10750;260;297;952;1177;2602;2075;2096;796;380;115;5350;5400;0
31852;SE;MURIBECA;6608;89;128;455;719;1623;1333;1335;553;261;111;3339;3269;0
31879;SE;NEÓPOLIS;13859;167;289;998;1443;3331;2699;2989;1189;576;177;7181;6678;0
31895;SE;NOSSA SENHORA DA GLÓRIA;25072;314;430;1887;2579;6005;5122;5315;2078;1019;322;13032;12040;0
31917;SE;NOSSA SENHORA DAS DORES;19082;183;269;1212;1914;4553;3897;4179;1780;871;224;9976;9106;0
31933;SE;NOSSA SENHORA DE LOURDES;5495;89;129;433;575;1303;1033;1180;452;228;73;2771;2724;0
31950;SE;NOSSA SENHORA DO SOCORRO;100434;719;1417;7523;11188;25022;21747;23639;6642;2193;342;53464;46970;0
31976;SE;PACATUBA;10863;133;220;856;1107;2843;2148;2128;844;435;149;5466;5397;0
31992;SE;PEDRA MOLE;3076;46;50;229;312;744;581;628;293;133;60;1534;1542;0
32018;SE;PEDRINHAS;7297;162;204;590;785;1647;1402;1531;566;299;110;3777;3520;0
32034;SE;PINHÃO;5238;88;111;362;497;1227;1011;1120;485;255;82;2627;2611;0
32050;SE;PIRAMBU;7514;90;157;592;774;1857;1513;1603;556;275;96;3805;3709;0
32077;SE;POÇO REDONDO;19117;339;509;1749;2324;4740;3605;3529;1429;696;197;9594;9523;0
32093;SE;POÇO VERDE;17833;287;353;1287;1722;3778;3473;3802;1743;945;442;9239;8594;0
32115;SE;PORTO DA FOLHA;21570;271;424;1740;2286;5227;4057;4463;1792;971;339;10827;10743;0
32131;SE;PROPRIÁ;19649;223;284;1295;1947;4616;3749;4802;1665;808;260;10410;9239;0
32158;SE;RIACHÃO DO DANTAS;16003;363;367;1225;1693;3657;3114;3271;1284;766;263;8122;7881;0
32174;SE;RIACHUELO;7647;122;184;577;799;1924;1649;1557;543;241;51;4025;3622;0
32190;SE;RIBEIRÓPOLIS;13551;131;199;844;1271;3062;2738;2933;1248;757;368;7048;6503;0
32212;SE;ROSÁRIO DO CATETE;8249;85;150;584;842;2077;1755;1765;612;277;102;4410;3839;0
32239;SE;SALGADO;14854;215;265;1013;1522;3488;3136;3202;1226;644;143;7560;7294;0
32255;SE;SANTA LUZIA DO ITANHY;10471;174;252;887;1266;2587;2078;2053;794;296;84;5334;5137;0
32298;SE;SANTA ROSA DE LIMA;3774;49;98;274;384;888;807;714;303;181;76;1929;1845;0
32310;SE;SANTO AMARO DAS BROTAS;8585;114;168;558;855;1999;1752;1898;701;396;144;4435;4150;0
32336;SE;SÃO CRISTÓVÃO;53218;327;626;3670;5415;13432;11443;12077;4042;1704;482;28006;25212;0
32352;SE;SÃO DOMINGOS;7993;132;183;577;825;1776;1687;1484;730;405;194;4097;3896;0
32379;SE;SÃO FRANCISCO;3493;94;88;246;361;832;715;725;262;124;46;1729;1764;0
