cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
61000;SP;EUCLIDES DA CUNHA PAULISTA;7859;52;117;453;691;1548;1563;1898;695;519;323;3937;3908;14
61018;SP;ADAMANTINA;27751;50;113;1140;1944;5251;4829;7319;3505;2289;1311;14640;13034;77
61026;SP;BOREBI;2215;25;31;142;196;480;429;531;218;111;52;1106;1109;0
61034;SP;ADOLFO;4318;49;63;216;321;914;730;1088;534;290;113;2102;2216;0
61042;SP;TARUMÃ;11088;73;128;581;964;2491;2367;2828;961;505;190;5558;5529;1
61050;SP;AGUAÍ;24886;100;246;1298;2116;5418;4935;6011;2669;1315;778;12615;12265;6
61069;SP;MOTUCA;3760;12;34;172;315;827;767;941;393;208;91;1857;1903;0
61077;SP;ÁGUAS DA PRATA;6450;12;24;221;441;1188;1129;1681;879;519;355;3230;3218;2
61085;SP;IARAS;4383;49;101;451;411;869;791;1015;442;172;82;1937;2445;1
61093;SP;ÁGUAS DE LINDÓIA;14294;47;88;572;999;2772;2778;3624;1715;974;725;7495;6796;3
61107;SP;GUATAPARÁ;5560;32;68;281;498;1172;1174;1279;647;275;134;2726;2834;0
61115;SP;ÁGUAS DE SÃO PEDRO;3707;27;46;194;273;607;658;953;498;350;101;1996;1711;0
61123;SP;DIRCE REIS;1685;13;20;83;130;333;295;432;204;140;35;828;857;0
61131;SP;AGUDOS;29502;82;207;1628;2508;6273;6054;7114;3078;1588;968;15127;14368;7
61140;SP;ESPÍRITO SANTO DO TURVO;3561;24;40;213;325;858;714;830;336;175;46;1765;1796;0
61158;SP;ALFREDO MARCONDES;3916;29;41;172;262;718;645;962;496;369;222;1920;1992;4
61166;SP;ROSANA;16332;81;137;874;1396;3216;3224;4224;1829;963;388;8177;8153;2
61174;SP;ALTAIR;3284;30;52;176;268;769;662;732;291;181;123;1515;1769;0
61182;SP;EMBAÚBA;2611;30;43;112;181;600;459;677;286;150;73;1240;1371;0
