cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
73008;TO;ABREULÂNDIA;2063;42;44;128;175;427;433;470;203;105;36;948;1115;0
73016;TO;PIRAQUÊ;2688;37;58;153;254;585;542;600;257;140;62;1152;1536;0
73024;TO;RIACHINHO;3748;92;99;280;344;885;710;698;320;207;113;1730;2018;0
73032;TO;DARCINÓPOLIS;4025;74;91;276;352;948;817;816;356;192;103;1911;2114;0
73040;TO;PALMEIRAS DO TOCANTINS;4443;97;84;326;502;1077;793;855;356;222;131;2111;2332;0
73059;TO;MAURILÂNDIA DO TOCANTINS;3005;71;73;230;272;704;533;612;265;152;93;1346;1659;0
73067;TO;CACHOEIRINHA;2132;59;54;180;209;539;387;357;156;95;96;988;1144;0
73075;TO;ANGICO;2770;54;63;193;262;642;511;586;240;141;78;1306;1464;0
73083;TO;PALMEIRANTE;3633;96;77;244;334;725;696;796;349;193;122;1590;2043;0
73091;TO;CAMPOS LINDOS;6082;192;202;571;672;1487;1046;1055;463;222;172;2815;3267;0
73105;TO;SÃO FÉLIX DO TOCANTINS;1373;41;63;120;144;335;243;278;96;40;13;621;752;0
73113;TO;LAGOA DO TOCANTINS;2681;87;90;232;273;587;471;537;229;121;54;1234;1447;0
73121;TO;BOM JESUS DO TOCANTINS;2918;39;59;219;326;767;554;568;212;124;50;1339;1579;0
73130;TO;SANTA MARIA DO TOCANTINS;2345;46;53;161;224;495;423;538;241;113;51;1083;1262;0
73148;TO;NOVO ALEGRE;1817;24;42;127;145;373;413;415;175;74;28;885;932;0
73156;TO;SANDOLÂNDIA;3535;50;56;215;260;731;745;816;343;208;111;1661;1874;0
73164;TO;TAIPAS DO TOCANTINS;1667;54;38;141;166;388;307;319;143;80;31;775;892;0
73172;TO;NOVO JARDIM;1970;44;56;162;185;458;398;410;159;73;25;927;1043;0
73180;TO;SÃO MIGUEL DO TOCANTINS;7490;157;170;598;749;1850;1426;1356;625;329;230;3696;3794;0
73199;TO;FORTALEZA DO TABOCÃO;2734;55;75;209;286;637;552;584;201;95;40;1329;1405;0
73202;TO;ITAPIRATINS;3129;72;62;204;319;635;619;627;303;186;101;1414;1715;0
73210;TO;CENTENÁRIO;2084;48;48;142;182;458;353;466;199;109;79;919;1165;0
73229;TO;RECURSOLÂNDIA;2890;74;76;228;279;608;504;605;255;147;113;1299;1591;0
73237;TO;TUPIRATINS;1789;45;48;117;164;371;346;428;161;78;31;838;951;0
